"","st","sdi.gps","N.gps","sdi.mlst","N.mlst","sdi.cc","N.cc"
"1","1",0.217699188286649,893,0.85115249756605,1787,0.488178856674704,1758
"2","10A",0.84572742022715,172,0.932862220610619,487,0.80885348198216,421
"3","10B",0.639668367346939,56,0.82421875,64,0.449984610649431,57
"4","10F",0.391111111111111,15,0.950059171597633,65,0.742716049382716,45
"5","11A",0.681214819115821,249,0.805967572378972,722,0.623576763687024,673
"6","11B",0.416666666666667,12,0.919667590027701,19,NA,NA
"7","11C",NA,NA,0.87603305785124,11,NA,NA
"8","12A",NA,NA,0.746227709190672,27,0.555,20
"9","12B",NA,NA,0.781163434903047,19,0.580246913580247,18
"10","12F",0.694487869650251,391,0.825128633337843,463,0.644479023771012,442
"11","13",0.755619077453207,226,0.970669042845474,201,0.859588477366255,135
"12","14",0.808990543136833,947,0.972764116218968,2260,0.747128656130838,2130
"13","15A",0.866453605285837,236,0.875019077561735,724,0.629156695958763,669
"14","15B/C",0.899028885538783,589,0.912954331348632,806,0.775560631849264,732
"15","15F",NA,NA,0.901144640998959,31,0.843195266272189,26
"16","16F",0.73269063733542,341,0.987745203429623,341,0.861299500192234,255
"17","17A",NA,NA,0.861111111111111,12,NA,NA
"18","17F",0.731542660155128,118,0.970971368114792,213,0.664327750113173,188
"19","18A",0.539775093710954,49,0.941828254847645,57,0.65440778799351,43
"20","18B",0.666666666666667,12,0.950413223140496,22,0.725761772853186,19
"21","18C",0.82421875,256,0.980808561236623,580,0.798945993159231,522
"22","18F",0.561224489795918,14,0.936224489795918,28,0.803324099722992,19
"23","19A",0.850633692609491,1065,0.972913599083811,4547,0.812375328176205,4268
"24","19B",0.74537037037037,36,0.894267010513787,71,0.758217677136596,37
"25","19F",0.803128246070377,903,0.967846804998968,3298,0.464207328477115,3022
"26","2",0,35,0.905982905982906,39,0.0570934256055364,34
"27","20A",0.748597981092774,79,NA,NA,NA,NA
"28","20B",0.609375,16,NA,NA,NA,NA
"29","21",0.693026675068263,138,0.951650324306932,243,0.680015869681906,207
"30","22A",0.186666666666667,30,0.860521365224402,61,0.726843100189036,46
"31","22F",0.488815426997245,165,0.700780532598714,660,0.285123966942149,594
"32","23A",0.656689771056501,138,0.92891489960593,584,0.575342910478046,555
"33","23B",0.827189853349187,174,0.913979773944081,410,0.615935658706345,371
"34","23F",0.810948715336746,811,0.957503403113005,2619,0.633195360025287,2444
"35","24",0.8544921875,64,NA,NA,NA,NA
"36","25F",0.255,20,0.871900826446281,22,0.3046875,16
"37","27",NA,NA,0.884353741496599,21,0.583333333333333,12
"38","28A",0.357142857142857,14,0.91609977324263,21,0.568047337278107,13
"39","28F",0.79585798816568,26,0.8664,50,0.702040816326531,35
"40","29",0.779296875,32,0.972645429362881,76,0.887351018838908,51
"41","3",0.6900627785946,414,0.738589416146958,1624,0.508144062641467,1504
"42","31",0.0982476299913817,59,0.964938271604938,135,0.549037460978148,124
"43","33A",NA,NA,0.875555555555556,30,0.548696844993141,27
"44","33B",NA,NA,0.564209274673008,58,0.277882797731569,46
"45","33C",NA,NA,0.809573361082206,31,0.090702947845805,21
"46","33D",0.0624349635796044,31,0.858131487889273,17,0.628099173553719,11
"47","33F",0.204734037907241,107,0.906844370401222,294,0.637514839730906,266
"48","34",0.55011768525282,222,0.958027067422862,442,0.706593204775023,330
"49","35A",0.684472612041648,47,0.956573468173706,41,0.83984375,32
"50","35B",0.728953919626073,243,0.785300584967595,872,0.605217007356919,802
"51","35C",NA,NA,0.9525,80,0.879292403746098,62
"52","35D",0.754325259515571,17,NA,NA,NA,NA
"53","35F",0.812695109261186,62,0.947270967470437,267,0.394234893763047,187
"54","36",NA,NA,0.945,20,NA,NA
"55","37",NA,NA,0.655324511657215,69,0.208112874779542,63
"56","38",0.385514646600376,122,0.803358843537415,168,0.416897506925208,152
"57","39",0.188365650969529,19,0.936226166995398,39,0.477508650519031,17
"58","4",0.816767513264218,279,0.973246620531392,668,0.855746519278174,591
"59","40",0.2265625,16,0.7265625,16,0.272189349112426,13
"60","42",NA,NA,0.892561983471074,11,NA,NA
"61","45",NA,NA,0.880102040816326,28,0.636678200692042,17
"62","46",0.13265306122449,14,0.789256198347107,22,NA,NA
"63","48",NA,NA,0.907372400756144,23,0.722222222222222,12
"64","5",0.00510200744369804,391,0.880865210621555,267,0.102148863282467,247
"65","6A",0.827837687215984,829,0.992633726226604,2115,0.886555084579842,1808
"66","6B",0.909213775178688,855,0.986398699056412,2457,0.591795429590288,2156
"67","6C",0.925237457024649,131,NA,NA,NA,NA
"68","7B",0.683673469387755,14,NA,NA,NA,NA
"69","7C",0.741189035243859,106,NA,NA,NA,NA
"70","7F",0.506698751300728,248,0.649442570918469,710,0.39558181928526,667
"71","8",0.418258147492053,203,0.956678836237721,326,0.678370343678213,298
"72","9A",NA,NA,0.958953004164188,41,0.41796875,32
"73","9L",0.549672813801309,41,0.941568047337278,52,0.817558299039781,27
"74","9N",0.658669081032141,94,0.904253542477615,279,0.469548102411073,251
"75","9V",0.746714719780694,323,0.929151513320368,793,0.355218347504184,753
"76","NT",0.878609071663439,149,NA,NA,NA,NA
"77","24A",NA,NA,0.87603305785124,11,NA,NA
"78","24B",NA,NA,0.553719008264463,22,0.0997229916897509,19
"79","24F",NA,NA,0.917627835447905,204,0.439500060379181,182
"80","32A",NA,NA,0.6592,25,NA,NA
"81","32F",NA,NA,0.683673469387755,14,NA,NA
"82","6C/D",NA,NA,0.980590780539301,1108,0.89558427296165,999
"83","6E",NA,NA,0.808791582527367,485,0.449361477716504,469
"84","7B/C",NA,NA,0.979792387543253,170,0.891069788797062,132
