"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"1","33D","1",0,4,28,0,"0","1","1","0","2","0","0","1","0","0","0","1"
"2","10B","1",1,12,28,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"3","29","1",4,17,28,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"4","9V","1",8,26,28,0,"1","1","1","0","2","0","0","0","0","0","1","1"
"5","17F","1",4,16,28,0,"0","1","1","0","2","1","0","0","0","0","0","0"
"6","7A","1",1,5,28,0,"0","1","1","1","2","1","0","0","0","0","0","1"
"7","25F","1",0,2,28,0,"0","0","1","0","2","1","0","1","0","0","0","0"
"8","20A","1",0,1,28,0,"0","1","1","1","2","0","0","0","0","0","0","1"
"9","46","1",1,2,28,0,"0","1","0","1","2","0","0","0","0","1","0","1"
"10","16F","1",2,27,28,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"11","20B","1",0,2,28,0,"0","1","1","1","2","0","0","0","0","0","0","1"
"12","22F","1",4,19,28,0,"1","1","1","0","2","1","0","0","0","0","0","0"
"13","10A","1",4,31,28,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"14","35A","1",0,11,28,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"15","42","1",1,7,28,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"16","27","1",1,4,28,0,"0","1","1","1","2","1","0","0","1","0","0","1"
"17","10F","1",1,9,28,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"18","24A","1",1,3,28,0,"0","0","0","0","2","0","0","0","1","0","0","0"
"19","23F","1",8,68,28,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"20","15A","1",7,35,28,0,"0","1","1","1","2","0","1","0","0","0","0","1"
"21","4","1",11,45,28,0,"0","1","0","0","2","0","0","0","0","1","1","1"
"22","14","1",13,49,28,0,"0","1","1","1","2","0","0","0","0","0","0","1"
"23","13","1",6,25,28,0,"0","1","1","1","2","0","0","1","0","0","0","1"
"24","11D","1",1,1,28,0,"0","1","1","0","2","0","1","0","0","0","0","1"
"25","19F","1",15,95,28,0,"0","0","1","0","2","1","0","0","0","0","1","1"
"26","37","1",3,8,28,0,"0","0","1","0","2","0","0","0","0","0","0","0"
"27","28F","1",0,6,28,0,"0","0","1","0","2","1","1","0","1","0","0","0"
"28","31","1",2,8,28,0,"1","1","0","0","2","1","0","0","0","0","0","0"
"29","11F","1",1,2,28,0,"0","1","1","1","2","0","0","1","0","0","0","1"
"30","19B","1",1,9,28,0,"0","0","1","0","2","1","0","0","0","0","1","1"
"31","24F","1",2,11,28,0,"0","0","1","0","2","1","0","1","0","0","0","0"
"32","47A","1",0,1,28,0,"0","1","1","1","2","0","0","1","0","0","0","1"
"33","6F","1",1,2,28,0,"0","1","1","0","2","1","0","1","0","0","0","0"
"34","11B","1",1,5,28,0,"0","1","1","1","2","0","0","1","0","0","0","1"
"35","21","1",5,18,28,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"36","33A","1",0,3,28,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"37","9A","1",1,6,28,0,"1","1","1","0","2","0","0","0","0","0","1","1"
"38","18F","1",1,7,28,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"39","10C","1",1,2,28,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"40","5","1",5,11,28,0,"1","0","1","0","2","0","0","0","0","1","0","1"
"41","1","1",0,28,28,1,"0","0","0","0","2","0","0","0","0","0","0","0"
"42","34","1",4,29,28,0,"0","1","1","0","2","0","0","1","0","0","0","0"
"43","32F","1",0,2,28,0,"0","0","1","0","2","1","0","0","1","0","0","0"
"44","12A","1",1,7,28,0,"0","0","1","1","2","0","0","0","0","1","0","1"
"45","11C","1",2,5,28,0,"0","1","1","0","2","0","1","0","0","0","0","1"
"46","11E","1",1,1,28,0,"0","1","1","0","2","0","1","0","0","0","0","0"
"47","45","1",1,4,28,0,"0","1","0","1","2","1","1","0","0","1","0","1"
"48","28A","1",0,3,28,0,"0","0","0","0","2","0","0","0","1","0","0","0"
"49","18B","1",1,7,28,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"50","12F","1",5,20,28,0,"0","1","1","0","2","0","0","0","0","1","0","1"
"51","11A","1",6,32,28,0,"0","1","1","0","2","0","1","0","0","0","0","0"
"52","35C","1",1,16,28,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"53","6E","1",4,15,28,0,"0","0","0","0","2","0","0","0","0","0","0","0"
"54","33C","1",0,2,28,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"55","2","1",1,2,28,0,"1","0","1","0","2","1","0","0","0","0","0","0"
"56","9L","1",2,11,28,0,"1","1","1","1","2","0","0","0","0","0","1","1"
"57","39","1",0,5,28,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"58","19C","1",1,5,28,0,"0","0","1","0","2","1","0","0","0","0","1","1"
"59","6A","1",13,108,28,0,"0","1","1","0","2","1","0","1","0","0","0","0"
"60","3","1",12,45,28,0,"1","0","1","0","2","0","0","0","0","0","0","0"
"61","33F","1",2,14,28,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"62","7F","1",4,20,28,0,"0","1","1","1","2","1","0","0","0","0","0","1"
"63","15B/C","1",9,38,28,0,"0","1","1","1","2","0","1","0","0","0","0","1"
