"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"1","25F","10A",0,2,18,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2","16F","10A",0,23,18,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"3","15A","10A",1,21,18,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"4","28A","10A",0,3,18,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"5","19B","10A",0,8,18,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"6","19F","10A",3,51,18,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"7","23F","10A",3,39,18,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"8","35F","10A",3,13,18,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"9","3","10A",1,18,18,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"10","29","10A",1,10,18,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"11","4","10A",0,14,18,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"12","12F","10A",0,7,18,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"13","31","10A",0,4,18,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"14","15F","10A",0,2,18,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"15","18F","10A",0,6,18,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"16","7F","10A",0,4,18,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"17","21","10A",0,10,18,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"18","19A","10A",2,59,18,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"19","35B","10A",1,18,18,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"20","33B","10A",0,3,18,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"21","10A","10A",0,18,18,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"22","15B/C","10A",1,32,18,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"23","12A","10A",0,2,18,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"24","6A","10A",1,61,18,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"25","9A","10A",0,1,18,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"26","8","10A",0,7,18,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"27","18C","10A",1,13,18,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"28","34","10A",0,23,18,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"29","7B","10A",1,4,18,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"30","10F","10A",1,2,18,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"31","6D","10A",0,2,18,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"32","35A","10A",0,8,18,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"33","17F","10A",2,15,18,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"34","33C","10A",0,2,18,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"35","28F","10A",0,9,18,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"36","20A","10A",0,9,18,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"37","35C","10A",0,4,18,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"38","17A","10A",0,2,18,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"39","18A","10A",0,7,18,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"40","14","10A",1,21,18,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"41","10B","10A",1,5,18,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"42","33F","10A",0,3,18,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"43","33D","10A",1,2,18,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"44","9V","10A",1,9,18,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"45","45","10A",0,3,18,0,"0","2","0","1","0","1","1","1","0","1","0","2"
"46","20B","10A",0,5,18,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"47","13","10A",1,24,18,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"48","22F","10A",0,14,18,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"49","39","10A",0,2,18,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"50","42","10A",0,1,18,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"51","6B","10A",2,60,18,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"52","9L","10A",0,10,18,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"53","46","10A",0,2,18,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"54","9N","10A",0,7,18,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"55","18B","10A",0,4,18,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"56","33A","10A",0,1,18,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"57","6C","10A",0,28,18,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"58","11A","10A",1,20,18,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"59","18F","10B",0,6,5,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"60","9V","10B",1,9,5,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"61","18A","10B",0,7,5,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"62","14","10B",0,21,5,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"63","15F","10B",0,2,5,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"64","6A","10B",1,61,5,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"65","33B","10B",0,3,5,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"66","25F","10B",0,2,5,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"67","35A","10B",0,8,5,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"68","11A","10B",0,20,5,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"69","12A","10B",0,2,5,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"70","18C","10B",0,13,5,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"71","10A","10B",1,18,5,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"72","46","10B",0,2,5,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"73","17A","10B",0,2,5,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"74","21","10B",0,10,5,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"75","16F","10B",0,23,5,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"76","33C","10B",0,2,5,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"77","6B","10B",1,60,5,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"78","9L","10B",0,10,5,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"79","33F","10B",0,3,5,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"80","8","10B",0,7,5,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"81","35F","10B",1,13,5,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"82","19B","10B",0,8,5,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"83","22F","10B",0,14,5,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"84","12F","10B",0,7,5,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"85","45","10B",0,3,5,0,"0","2","0","1","0","1","1","1","0","1","0","2"
"86","35C","10B",0,4,5,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"87","33A","10B",0,1,5,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"88","28F","10B",0,9,5,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"89","10B","10B",0,5,5,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"90","6C","10B",0,28,5,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"91","3","10B",0,18,5,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"92","15A","10B",0,21,5,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"93","19A","10B",0,59,5,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"94","20B","10B",0,5,5,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"95","35B","10B",1,18,5,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"96","29","10B",0,10,5,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"97","23F","10B",0,39,5,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"98","10F","10B",1,2,5,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"99","4","10B",0,14,5,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"100","19F","10B",1,51,5,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"101","9A","10B",0,1,5,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"102","13","10B",0,24,5,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"103","7F","10B",0,4,5,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"104","17F","10B",0,15,5,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"105","34","10B",0,23,5,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"106","42","10B",0,1,5,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"107","7B","10B",0,4,5,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"108","31","10B",0,4,5,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"109","28A","10B",0,3,5,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"110","9N","10B",0,7,5,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"111","39","10B",0,2,5,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"112","6D","10B",0,2,5,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"113","33D","10B",1,2,5,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"114","20A","10B",0,9,5,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"115","18B","10B",0,4,5,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"116","15B/C","10B",0,32,5,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"117","33B","10F",0,3,2,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"118","19B","10F",0,8,2,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"119","34","10F",0,23,2,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"120","18F","10F",0,6,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"121","9V","10F",1,9,2,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"122","9N","10F",0,7,2,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"123","21","10F",0,10,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"124","14","10F",0,21,2,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"125","10A","10F",1,18,2,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"126","8","10F",0,7,2,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"127","10B","10F",1,5,2,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"128","33D","10F",1,2,2,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"129","7B","10F",0,4,2,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"130","33C","10F",0,2,2,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"131","39","10F",0,2,2,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"132","28A","10F",0,3,2,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"133","25F","10F",0,2,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
