"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"1","19F","1",12,1199,240,0,"0","0","1","0","2","1","0","0","0","0","1","1"
"2","16F","1",1,229,240,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"3","33C","1",0,13,240,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"4","19C","1",0,10,240,0,"0","0","1","0","2","1","0","0","0","0","1","1"
"5","10B","1",0,27,240,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"6","6F","1",0,2,240,0,"0","1","1","0","2","1","0","1","0","0","0","0"
"7","11E","1",0,1,240,0,"0","1","1","0","2","0","1","0","0","0","0","0"
"8","9N","1",0,136,240,0,"1","0","1","1","2","0","0","0","0","0","1","1"
"9","11A","1",1,240,240,0,"0","1","1","0","2","0","1","0","0","0","0","0"
"10","23F","1",6,810,240,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"11","35C","1",0,41,240,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"12","37","1",0,27,240,0,"0","0","1","0","2","0","0","0","0","0","0","0"
"13","1","1",0,240,240,1,"0","0","0","0","2","0","0","0","0","0","0","0"
"14","12F","1",0,114,240,0,"0","1","1","0","2","0","0","0","0","1","0","1"
"15","34","1",0,204,240,0,"0","1","1","0","2","0","0","1","0","0","0","0"
"16","32A","1",0,10,240,0,"0","0","1","0","2","1","0","0","1","0","0","0"
"17","18C","1",2,306,240,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"18","2","1",0,25,240,0,"1","0","1","0","2","1","0","0","0","0","0","0"
"19","19B","1",0,33,240,0,"0","0","1","0","2","1","0","0","0","0","1","1"
"20","15A","1",1,285,240,0,"0","1","1","1","2","0","1","0","0","0","0","1"
"21","33D","1",0,11,240,0,"0","1","1","0","2","0","0","1","0","0","0","1"
"22","20B","1",0,2,240,0,"0","1","1","1","2","0","0","0","0","0","0","1"
"23","33A","1",0,14,240,0,"0","1","1","0","2","0","0","0","0","0","0","0"
"24","6G","1",0,1,240,0,"0","1","1","0","2","1","0","1","0","0","0","0"
"25","18B","1",0,21,240,0,"0","1","1","0","2","1","1","0","0","0","0","0"
"26","7A","1",0,7,240,0,"0","1","1","1","2","1","0","0","0","0","0","1"
"27","9A","1",0,33,240,0,"1","1","1","0","2","0","0","0","0","0","1","1"
