"","phylo.grp","In_Silico_Serotype"
"1","1_4","19F"
"2","1_4","19A"
"3","1_4","19A"
"4","1_4","19A"
"5","1_4","19A"
"6","1_4","19A"
"7","1_4","19A"
"8","1_4","19A"
"9","1_4","19A"
"10","1_4","19A"
"11","1_4","19A"
"12","1_4","19F"
"13","1_4","19F"
"14","1_4","19A"
"15","1_4","19A"
"16","1_4","19A"
"17","1_4","19A"
"18","1_4","19A"
"19","1_4","19F"
"20","1_4","19F"
"21","1_4","19A"
"22","1_4","19F"
"23","1_4","19A"
"24","1_4","19A"
"25","1_4","19A"
"26","1_4","19A"
"27","1_4","19F"
"28","1_4","19F"
"29","1_4","19F"
"30","1_4","19F"
"31","1_4","19A"
"32","1_4","19F"
"33","1_4","19A"
"34","1_4","19A"
"35","1_4","19A"
"36","1_4","19A"
"37","1_4","19F"
"38","1_4","19A"
"39","1_4","19A"
"40","1_4","19A"
"41","1_4","19A"
"42","1_4","19A"
"43","1_4","19A"
"44","1_4","19F"
"45","1_4","19F"
"46","1_4","19F"
"47","1_4","19F"
"48","1_5","19F"
"49","1_4","19A"
"50","1_6","19F"
"51","1_4","19A"
"52","1_6","19F"
"53","1_4","19F"
"54","1_6","19F"
"55","1_4","19F"
"56","1_6","19F"
"57","1_4","19F"
"58","1_4","19A"
"59","1_4","19F"
"60","1_4","19F"
"61","1_4","19F"
"62","1_4","19F"
"63","1_4","19F"
"64","1_4","19F"
"65","1_4","19F"
"66","1_4","19F"
"67","1_4","19F"
"68","1_4","19F"
"69","1_4","19F"
"70","1_4","19F"
"71","1_4","19F"
"72","1_4","19F"
"73","1_4","19A"
"74","1_4","19A"
"75","1_4","19A"
"76","1_4","19A"
"77","1_4","19A"
"78","1_4","19A"
"79","1_4","19A"
"80","1_4","19A"
"81","1_4","19A"
"82","1_4","19A"
"83","1_4","19A"
"84","1_4","19A"
"85","1_4","19A"
"86","1_4","19A"
"87","1_4","19A"
"88","1_4","19A"
"89","1_4","19A"
"90","1_4","19F"
"91","1_4","19A"
"92","1_4","19F"
"93","1_4","19A"
"94","1_4","19F"
"95","1_4","19F"
"96","1_6","19F"
"97","1_4","19F"
"98","1_4","19F"
"99","1_6","19F"
"100","1_6","19F"
"101","1_4","19F"
"102","1_4","19A"
"103","1_4","19A"
"104","1_4","19A"
"105","1_4","19A"
"106","1_4","19A"
"107","1_4","19A"
"108","1_4","19A"
"109","1_4","19A"
"110","1_4","19A"
"111","1_4","19A"
"112","1_4","19F"
"113","1_6","19F"
"114","1_4","19F"
"115","1_6","19F"
"116","1_4","19F"
"117","1_4","19F"
"118","1_6","19F"
"119","1_4","19F"
"120","1_4","19F"
"121","1_4","19F"
"122","1_4","19F"
"123","1_6","19F"
"124","1_4","19F"
"125","1_4","19F"
"126","1_4","19F"
"127","1_4","19F"
"128","1_4","19F"
"129","1_4","19A"
"130","1_4","19F"
"131","1_4","19F"
"132","1_4","19A"
"133","1_4","19A"
"134","1_4","19A"
"135","1_4","19A"
"136","1_4","19F"
"137","1_4","19F"
"138","1_4","19F"
"139","1_4","19A"
"140","1_4","19A"
"141","1_4","19A"
"142","1_4","19A"
"143","1_4","19A"
"144","1_4","19A"
"145","1_4","19A"
"146","1_4","19A"
"147","1_4","19A"
"148","1_4","19A"
"149","1_4","19A"
"150","1_4","19A"
"151","1_4","19F"
"152","1_4","19A"
"153","1_4","19A"
"154","1_4","19A"
"155","1_4","19A"
"156","1_4","19A"
"157","1_4","19F"
"158","1_4","19A"
"159","1_4","19A"
"160","1_4","19F"
"161","1_4","19A"
"162","1_4","19F"
"163","1_4","19F"
"164","1_4","19F"
"165","1_6","19F"
"166","1_4","19F"
"167","1_4","19F"
"168","1_4","19F"
"169","1_4","19F"
"170","1_4","19F"
"171","1_6","19F"
"172","1_6","19F"
"173","1_4","19F"
"174","1_6","19F"
"175","1_6","19F"
"176","1_4","19F"
"177","1_6","19F"
"178","1_4","19F"
"179","1_6","19F"
"180","1_4","19F"
"181","1_4","19F"
"182","1_6","19F"
"183","1_4","19F"
"184","1_4","19A"
"185","1_4","19F"
"186","1_4","19A"
"187","1_4","19A"
"188","1_4","19A"
"189","1_4","19A"
"190","1_4","19A"
"191","1_4","19F"
"192","1_5","19F"
"193","1_5","19F"
"194","1_5","19F"
"195","1_4","19F"
"196","1_4","19F"
"197","1_6","19F"
"198","1_4","19F"
"199","1_6","19F"
"200","1_6","19F"
"201","1_4","19F"
"202","1_6","19F"
"203","1_6","19F"
"204","1_5","19F"
"205","1_5","19F"
"206","1_4","19F"
"207","1_4","19F"
"208","1_4","19F"
"209","1_4","19F"
"210","1_4","19F"
"211","1_4","19F"
"212","1_6","19F"
"213","1_6","19F"
"214","1_4","19F"
"215","1_4","19F"
"216","1_6","19F"
"217","1_4","19F"
"218","1_4","19F"
"219","1_4","19F"
"220","1_4","19F"
"221","1_4","19A"
"222","1_4","19A"
"223","1_4","19A"
"224","1_4","19A"
"225","1_4","19A"
"226","1_4","19A"
"227","1_4","19A"
"228","1_4","19A"
"229","1_4","19A"
"230","1_4","19A"
"231","1_4","19A"
"232","1_4","19A"
"233","1_4","19A"
"234","1_4","19A"
"235","1_4","19A"
"236","1_4","19F"
"237","1_4","19A"
"238","1_4","19A"
"239","1_4","19A"
"240","1_4","19A"
"241","1_4","19A"
"242","1_4","19A"
"243","1_4","19A"
"244","1_4","19A"
"245","1_4","19A"
"246","1_4","19F"
"247","1_4","19F"
"248","1_4","19A"
"249","1_4","19A"
"250","1_4","19F"
"251","1_6","19F"
"252","1_6","19F"
"253","1_4","19F"
"254","1_4","3"
"255","1_4","19F"
"256","1_6","19F"
"257","1_4","19A"
"258","1_4","19F"
"259","1_4","19F"
"260","1_6","19F"
"261","1_4","19A"
"262","1_5","19F"
"263","1_5","19F"
"264","1_5","19F"
"265","1_5","19F"
"266","1_5","19F"
"267","1_5","19F"
"268","1_5","19F"
"269","1_5","19F"
"270","1_2","19A"
"271","1_5","19F"
"272","1_2","19A"
"273","1_4","19F"
"274","1_4","19F"
"275","1_4","19A"
"276","1_4","19A"
"277","1_4","19A"
"278","1_4","19F"
"279","1_4","19F"
"280","1_4","19F"
"281","1_4","19F"
"282","1_4","19F"
"283","1_4","19A"
"284","1_4","19F"
"285","1_4","19A"
"286","1_4","19F"
"287","1_4","19A"
"288","1_4","19F"
"289","1_4","19A"
"290","1_4","19A"
"291","1_4","19F"
"292","1_4","19A"
"293","1_4","19F"
"294","1_4","19A"
"295","1_4","19F"
"296","1_4","19A"
"297","1_4","19A"
"298","1_4","19A"
"299","1_6","19F"
"300","1_6","19F"
"301","1_4","3"
"302","1_6","19F"
"303","1_6","19F"
"304","1_6","19F"
"305","1_6","19F"
"306","1_5","19F"
"307","1_6","19F"
"308","1_4","19F"
"309","1_4","19F"
"310","1_4","19F"
"311","1_4","19F"
"312","1_4","23F"
"313","1_4","19F"
"314","1_5","19F"
"315","1_5","19F"
"316","1_4","19F"
"317","1_6","19F"
"318","1_4","19F"
"319","1_4","19F"
"320","1_6","19F"
"321","1_4","19F"
"322","1_6","19F"
"323","1_4","19F"
"324","1_4","19F"
"325","1_6","19F"
"326","1_6","19F"
"327","1_4","19F"
"328","1_4","19F"
"329","1_6","19F"
"330","1_4","19F"
"331","1_6","19F"
"332","1_4","19F"
"333","1_4","19F"
"334","1_6","19F"
"335","1_6","19F"
"336","1_6","19F"
"337","1_6","19F"
"338","1_6","19F"
"339","1_4","19F"
"340","1_6","19F"
"341","1_6","19F"
"342","1_6","19F"
"343","1_6","19F"
"344","1_6","19F"
"345","1_4","19F"
"346","1_6","19F"
"347","1_6","19F"
"348","1_6","19F"
"349","1_4","19F"
"350","1_4","19F"
"351","1_6","19F"
"352","1_4","19F"
"353","1_4","19F"
"354","1_5","19F"
"355","1_5","19F"
"356","1_1","19A"
"357","1_4","19A"
"358","1_5","19F"
"359","1_5","19F"
"360","1_4","19F"
"361","1_4","19F"
"362","1_4","19F"
"363","1_4","19F"
"364","1_4","14"
"365","1_4","19F"
"366","1_4","19F"
"367","1_4","19F"
"368","1_4","19F"
"369","1_4","19F"
"370","1_4","19F"
"371","1_4","19F"
"372","1_4","19F"
"373","1_4","19F"
"374","1_4","19F"
"375","1_4","19F"
"376","1_4","19F"
"377","1_4","19F"
"378","1_4","19F"
"379","1_4","19F"
"380","1_4","19F"
"381","1_4","19F"
"382","1_4","19F"
"383","1_4","19F"
"384","1_4","19F"
"385","1_4","19A"
"386","1_4","19A"
"387","1_4","19A"
"388","1_4","19F"
"389","1_4","19F"
"390","1_4","19F"
"391","1_4","19A"
"392","1_4","19A"
"393","1_4","19F"
"394","1_4","19A"
"395","1_4","19A"
"396","1_4","19F"
"397","1_4","19F"
"398","1_4","19F"
"399","1_4","19A"
"400","1_4","19F"
"401","1_4","19F"
"402","1_4","19F"
"403","1_4","19F"
"404","1_4","19F"
"405","1_4","19F"
"406","1_4","19F"
"407","1_4","19F"
"408","1_4","19F"
"409","1_4","19F"
"410","1_4","19F"
"411","1_4","19F"
"412","1_4","19A"
"413","1_4","19A"
"414","1_4","19A"
"415","1_4","19F"
"416","1_4","19F"
"417","1_4","19F"
"418","1_4","19F"
"419","1_4","19A"
"420","1_4","19F"
"421","1_4","19F"
"422","1_4","19A"
"423","1_4","19A"
"424","1_4","19F"
"425","1_4","6C"
"426","1_4","19F"
"427","1_4","19F"
"428","1_4","19F"
"429","1_4","19F"
"430","1_4","19F"
"431","1_4","19F"
"432","1_4","19A"
"433","1_4","19A"
"434","1_4","19F"
"435","1_4","19F"
"436","1_4","19F"
"437","1_4","19A"
"438","1_4","19F"
"439","1_4","19F"
"440","1_4","19F"
"441","1_3","19F"
"442","1_4","19F"
"443","1_4","19F"
"444","1_4","19A"
"445","1_4","19F"
"446","1_4","19F"
"447","1_4","19F"
"448","1_4","19F"
"449","1_4","19F"
"450","1_4","19F"
"451","1_4","19A"
"452","1_4","19A"
"453","1_4","19F"
"454","1_4","19F"
"455","1_4","19F"
"456","1_4","19A"
"457","1_2","19A"
"458","1_6","19F"
"459","1_4","19F"
"460","1_4","19A"
"461","1_4","19F"
"462","1_4","19A"
"463","1_4","19A"
"464","1_4","19A"
"465","1_4","19A"
"466","1_4","19A"
"467","1_4","19A"
"468","1_4","19A"
"469","1_4","19A"
"470","1_4","19A"
"471","1_4","19A"
"472","1_4","19A"
"473","1_4","19F"
"474","1_4","19F"
"475","1_4","19F"
"476","1_4","19F"
"477","1_3","19F"
"478","1_4","19F"
"479","1_4","19F"
"480","1_4","19A"
"481","1_4","19F"
"482","1_4","19F"
"483","1_4","19A"
"484","1_4","19F"
"485","1_4","19A"
"486","1_4","19A"
"487","1_4","19A"
"488","1_4","19A"
"489","1_4","19A"
"490","1_4","19A"
"491","1_4","19A"
"492","1_4","19A"
"493","1_4","19A"
"494","1_4","19F"
"495","1_4","19A"
"496","1_4","19F"
"497","1_4","19F"
"498","1_4","19A"
"499","1_4","19A"
"500","1_4","19F"
"501","1_4","19F"
"502","1_4","19F"
"503","1_4","19A"
"504","1_4","19A"
"505","2_7","1"
"506","2_7","1"
"507","2_7","1"
"508","2_7","1"
"509","2_5","1"
"510","2_3","1"
"511","2_6","1"
"512","2_7","1"
"513","2_6","1"
"514","2_6","1"
"515","2_6","1"
"516","2_6","1"
"517","2_6","1"
"518","2_7","1"
"519","2_6","1"
"520","2_6","1"
"521","2_6","1"
"522","2_6","1"
"523","2_6","1"
"524","2_6","1"
"525","2_7","1"
"526","2_6","1"
"527","2_6","1"
"528","2_7","1"
"529","2_6","1"
"530","2_6","1"
"531","2_6","1"
"532","2_6","1"
"533","2_6","1"
"534","2_6","1"
"535","2_6","1"
"536","2_6","1"
"537","2_7","1"
"538","2_7","1"
"539","2_7","1"
"540","2_7","1"
