"","lhs","","rhs","support","confidence","lift","count","CC_chisq","CC_fisher"
"[1]","{20A}","=>","{9V}",0.0015600624024961,1,24.6538461538462,1,1.13121705822265e-06,0.0405616224648986
"[2]","{9V}","=>","{20A}",0.0015600624024961,0.0384615384615385,24.6538461538462,1,1.13121705822265e-06,0.0405616224648986
"[3]","{41A}","=>","{13}",0.0015600624024961,1,25.64,1,6.77356144036496e-07,0.0390015600624023
"[4]","{13}","=>","{41A}",0.0015600624024961,0.04,25.64,1,6.77356144036496e-07,0.0390015600624025
"[5]","{47A}","=>","{20B}",0.0015600624024961,1,320.5,1,1.44901010354856e-71,0.00312012480499202
"[6]","{20B}","=>","{47A}",0.0015600624024961,0.5,320.5,1,1.44901010354856e-71,0.00312012480499246
"[7]","{47A}","=>","{7B/C}",0.0015600624024961,1,40.0625,1,3.97819368748191e-10,0.0249609984399376
"[8]","{7B/C}","=>","{47A}",0.0015600624024961,0.0625,40.0625,1,3.97819368748191e-10,0.0249609984399376
"[9]","{47A}","=>","{6B}",0.0015600624024961,1,5.88073394495413,1,0.0270383570086657,0.170046801872075
"[10]","{6B}","=>","{47A}",0.0015600624024961,0.00917431192660551,5.88073394495413,1,0.0270383570086657,0.170046801872075
"[11]","{32F}","=>","{22A}",0.0015600624024961,0.5,29.1363636363636,1,1.39366032973718e-07,0.0340532371294855
"[12]","{22A}","=>","{32F}",0.0015600624024961,0.0909090909090909,29.1363636363636,1,1.39366032973718e-07,0.0340532371294854
"[13]","{32F}","=>","{35F}",0.0015600624024961,0.5,16.025,1,0.000133861984928776,0.0614762090483622
"[14]","{35F}","=>","{32F}",0.0015600624024961,0.05,16.025,1,0.000133861984928776,0.0614762090483619
"[15]","{32F}","=>","{23F}",0.0015600624024961,0.5,4.71323529411765,1,0.0700087590034415,0.201062792511701
"[16]","{23F}","=>","{32F}",0.0015600624024961,0.0147058823529412,4.71323529411765,1,0.0700087590034415,0.2010627925117
"[17]","{25F}","=>","{25A}",0.0015600624024961,0.5,106.833333333333,1,8.7299603385172e-25,0.0093457488299532
"[18]","{25A}","=>","{25F}",0.0015600624024961,0.333333333333333,106.833333333333,1,8.7299603385172e-25,0.00934574882995298
"[19]","{25F}","=>","{38}",0.0031201248049922,1,58.2727272727273,2,8.26022585292047e-27,0.000268135725429018
"[20]","{38}","=>","{25F}",0.0031201248049922,0.181818181818182,58.2727272727273,2,8.26022585292047e-27,0.000268135725429017
"[21]","{20B}","=>","{7B/C}",0.0015600624024961,0.5,20.03125,1,1.61043824903945e-05,0.0493369734789393
"[22]","{7B/C}","=>","{20B}",0.0015600624024961,0.0625,20.03125,1,1.61043824903945e-05,0.0493369734789391
"[23]","{20B}","=>","{6B}",0.0015600624024961,0.5,2.94036697247706,1,0.213484266539472,0.311398205928237
"[24]","{6B}","=>","{20B}",0.0015600624024961,0.00917431192660551,2.94036697247706,1,0.213484266539472,0.311398205928237
"[25]","{20B}","=>","{19A}",0.0015600624024961,0.5,3.11165048543689,1,0.1906329362553,0.295763455538222
