"","lhs","","rhs","support","confidence","lift","count","ST_chisq","ST_fisher"
"[1]","{36}","=>","{35C}",0.00137741046831956,1,51.8571428571429,1,9.58515863026723e-13,0.0192837465564737
"[2]","{35C}","=>","{36}",0.00137741046831956,0.0714285714285714,51.8571428571429,1,9.58515863026723e-13,0.0192837465564735
"[3]","{20B}","=>","{7B/C}",0.00137741046831956,1,51.8571428571429,1,9.58515863026723e-13,0.0192837465564737
"[4]","{7B/C}","=>","{20B}",0.00137741046831956,0.0714285714285714,51.8571428571429,1,9.58515863026723e-13,0.0192837465564735
"[5]","{28A}","=>","{19F}",0.00137741046831956,1,5.04166666666667,1,0.0442435889036518,0.198347107438016
"[6]","{19F}","=>","{28A}",0.00137741046831956,0.00694444444444444,5.04166666666667,1,0.0442435889036519,0.198347107438017
"[7]","{32A}","=>","{32F}",0.00137741046831956,1,181.5,1,3.32577293905865e-41,0.0055096418732784
"[8]","{32F}","=>","{32A}",0.00137741046831956,0.25,181.5,1,3.32577293905865e-41,0.00550964187327818
"[9]","{12A}","=>","{14}",0.00137741046831956,1,9.30769230769231,1,0.00392292471523449,0.107438016528926
"[10]","{14}","=>","{12A}",0.00137741046831956,0.0128205128205128,9.30769230769231,1,0.00392292471523449,0.107438016528926
"[11]","{16A}","=>","{16F}",0.00137741046831956,1,60.5,1,1.17299059753239e-14,0.0165289256198348
"[12]","{16F}","=>","{16A}",0.00137741046831956,0.0833333333333333,60.5,1,1.17299059753238e-14,0.0165289256198347
"[13]","{28F}","=>","{33D}",0.00137741046831956,1,145.2,1,2.90655746724359e-33,0.00688705234159792
"[14]","{33D}","=>","{28F}",0.00137741046831956,0.2,145.2,1,2.90655746724355e-33,0.00688705234159759
"[15]","{28F}","=>","{33B}",0.00137741046831956,1,145.2,1,2.90655746724359e-33,0.00688705234159792
"[16]","{33B}","=>","{28F}",0.00137741046831956,0.2,145.2,1,2.90655746724355e-33,0.00688705234159759
"[17]","{19Ð.}","=>","{19F}",0.00137741046831956,1,5.04166666666667,1,0.0442435889036518,0.198347107438016
"[18]","{19F}","=>","{19Ð.}",0.00137741046831956,0.00694444444444444,5.04166666666667,1,0.0442435889036519,0.198347107438017
"[19]","{19Ð.}","=>","{19A}",0.00137741046831956,1,4.07865168539326,1,0.0791194289705533,0.245179063360882
"[20]","{19A}","=>","{19Ð.}",0.00137741046831956,0.00561797752808989,4.07865168539326,1,0.0791194289705533,0.245179063360882
"[21]","{33C}","=>","{29}",0.00137741046831956,0.5,25.9285714285714,1,7.40821664175692e-07,0.0382217155884871
"[22]","{29}","=>","{33C}",0.00137741046831956,0.0714285714285714,25.9285714285714,1,7.40821664175692e-07,0.0382217155884864
"[23]","{33C}","=>","{6B}",0.00137741046831956,0.5,2.07428571428571,1,0.39123087098011,0.424242424242424
"[24]","{6B}","=>","{33C}",0.00137741046831956,0.00571428571428571,2.07428571428571,1,0.39123087098011,0.424242424242424
"[25]","{25F}","=>","{25A}",0.00137741046831956,0.5,90.75,1,3.06743158251096e-21,0.0109964852284602
"[26]","{25A}","=>","{25F}",0.00137741046831956,0.25,90.75,1,3.06743158251096e-21,0.0109964852284602
"[27]","{25F}","=>","{38}",0.00137741046831956,0.5,30.25,1,7.86981758303417e-08,0.0328070675406096
"[28]","{38}","=>","{25F}",0.00137741046831956,0.0833333333333333,30.25,1,7.86981758303414e-08,0.0328070675406095
"[29]","{6G}","=>","{6C/D}",0.00137741046831956,1,8.44186046511628,1,0.00633615972150172,0.118457300275482
"[30]","{6C/D}","=>","{6G}",0.00137741046831956,0.0116279069767442,8.44186046511628,1,0.00633615972150173,0.118457300275482
"[31]","{6G}","=>","{6A}",0.00137741046831956,1,4.45398773006135,1,0.0629177919784896,0.224517906336088
"[32]","{6A}","=>","{6G}",0.00137741046831956,0.00613496932515337,4.45398773006135,1,0.0629177919784896,0.224517906336088
