"","lhs","","rhs","support","confidence","lift","count","CC_chisq","CC_fisher"
"[171]","{12B}","=>","{12F}",0.0062402496099844,0.8,25.64,4,3.19323263526889e-23,3.40643274650025e-06
"[172]","{12F}","=>","{12B}",0.0062402496099844,0.2,25.64,4,3.19323263526889e-23,3.40643274650026e-06
"[247]","{33D}","=>","{6A}",0.0046801872074883,0.75,4.45138888888889,3,0.00182725317133534,0.0163839963351724
"[248]","{6A}","=>","{33D}",0.0046801872074883,0.0277777777777778,4.45138888888889,3,0.00182725317133534,0.0163839963351724
"[249]","{33D}","=>","{6B}",0.0046801872074883,0.75,4.4105504587156,3,0.00195348829591838,0.0168251002082999
"[250]","{6B}","=>","{33D}",0.0046801872074883,0.0275229357798165,4.4105504587156,3,0.00195348829591837,0.0168251002082999
"[507]","{33A}","=>","{33F}",0.0046801872074883,1,45.7857142857143,3,3.32017164374847e-31,8.33131916825969e-06
"[508]","{33F}","=>","{33A}",0.0046801872074883,0.214285714285714,45.7857142857143,3,3.32017164374847e-31,8.33131916825968e-06
"[589]","{28F}","=>","{6B}",0.0046801872074883,0.5,2.94036697247706,3,0.0306552607021639,0.0646978542693552
"[590]","{6B}","=>","{28F}",0.0046801872074883,0.0275229357798165,2.94036697247706,3,0.0306552607021638,0.0646978542693552
"[619]","{7A}","=>","{7F}",0.0062402496099844,0.8,25.64,4,3.19323263526889e-23,3.40643274650025e-06
"[620]","{7F}","=>","{7A}",0.0062402496099844,0.2,25.64,4,3.19323263526889e-23,3.40643274650026e-06
"[645]","{7A}","=>","{19A}",0.0046801872074883,0.6,3.73398058252427,3,0.00724438874175077,0.0315529149557108
"[646]","{19A}","=>","{7A}",0.0046801872074883,0.029126213592233,3.73398058252427,3,0.00724438874175077,0.0315529149557108
"[741]","{33B}","=>","{6C/D}",0.0046801872074883,0.375,4.07415254237288,3,0.00533829729402644,0.0297183054404129
"[742]","{6C/D}","=>","{33B}",0.0046801872074883,0.0508474576271186,4.07415254237288,3,0.00533829729402644,0.0297183054404129
"[743]","{33B}","=>","{23F}",0.0046801872074883,0.375,3.53492647058824,3,0.0129367720013287,0.0433271399451281
"[744]","{23F}","=>","{33B}",0.0046801872074883,0.0441176470588235,3.53492647058824,3,0.0129367720013287,0.0433271399451281
"[747]","{33B}","=>","{6A}",0.0046801872074883,0.375,2.22569444444444,3,0.116328507681154,0.137053294220183
"[748]","{6A}","=>","{33B}",0.0046801872074883,0.0277777777777778,2.22569444444444,3,0.116328507681154,0.137053294220183
"[1069]","{37}","=>","{33F}",0.0046801872074883,0.375,17.1696428571429,3,6.11002800110407e-12,0.000437137545195287
"[1070]","{33F}","=>","{37}",0.0046801872074883,0.214285714285714,17.1696428571429,3,6.11002800110404e-12,0.000437137545195287
"[1099]","{37}","=>","{1}",0.0046801872074883,0.375,8.58482142857143,3,3.95220720992179e-06,0.00361806182562608
"[1100]","{1}","=>","{37}",0.0046801872074883,0.107142857142857,8.58482142857143,3,3.95220720992176e-06,0.00361806182562608
"[1101]","{37}","=>","{9V}",0.0046801872074883,0.375,9.24519230769231,3,1.39810305154968e-06,0.00290622900191182
"[1102]","{9V}","=>","{37}",0.0046801872074883,0.115384615384615,9.24519230769231,3,1.39810305154969e-06,0.00290622900191182
"[1107]","{37}","=>","{15A}",0.0046801872074883,0.375,6.86785714285714,3,5.97638038059748e-05,0.00692925469193841
"[1108]","{15A}","=>","{37}",0.0046801872074883,0.0857142857142857,6.86785714285714,3,5.97638038059748e-05,0.00692925469193841
"[1111]","{37}","=>","{3}",0.0078003120124805,0.625,8.90277777777778,5,6.38330311905651e-10,6.55743962913734e-05
"[1112]","{3}","=>","{37}",0.0078003120124805,0.111111111111111,8.90277777777778,5,6.38330311905653e-10,6.55743962913735e-05
"[1115]","{37}","=>","{23F}",0.0046801872074883,0.375,3.53492647058824,3,0.0129367720013287,0.0433271399451281
"[1116]","{23F}","=>","{37}",0.0046801872074883,0.0441176470588235,3.53492647058824,3,0.0129367720013287,0.0433271399451281
"[1117]","{37}","=>","{19F}",0.0046801872074883,0.375,2.53026315789474,3,0.0692498985939022,0.100970076759799
"[1118]","{19F}","=>","{37}",0.0046801872074883,0.0315789473684211,2.53026315789474,3,0.0692498985939023,0.100970076759799
"[1123]","{37}","=>","{19A}",0.0062402496099844,0.5,3.11165048543689,4,0.00854367217800898,0.0262195590327385
"[1124]","{19A}","=>","{37}",0.0062402496099844,0.0388349514563107,3.11165048543689,4,0.008543672178009,0.0262195590327385
"[1341]","{5}","=>","{23B}",0.0046801872074883,0.272727272727273,9.71212121212121,3,7.26383338343109e-07,0.00267281265284859
"[1342]","{23B}","=>","{5}",0.0046801872074883,0.166666666666667,9.71212121212121,3,7.26383338343109e-07,0.00267281265284859
"[1351]","{5}","=>","{1}",0.0078003120124805,0.454545454545455,10.4058441558442,5,1.75417907605798e-11,4.25563256580308e-05
"[1352]","{1}","=>","{5}",0.0078003120124805,0.178571428571429,10.4058441558442,5,1.75417907605797e-11,4.25563256580309e-05
"[1357]","{5}","=>","{14}",0.0046801872074883,0.272727272727273,3.56771799628942,3,0.0134592571950168,0.0447941166437494
"[1358]","{14}","=>","{5}",0.0046801872074883,0.0612244897959184,3.56771799628942,3,0.0134592571950168,0.0447941166437494
"[1363]","{5}","=>","{23F}",0.0046801872074883,0.272727272727273,2.57085561497326,3,0.0702376838203514,0.101270264118121
"[1364]","{23F}","=>","{5}",0.0046801872074883,0.0441176470588235,2.57085561497326,3,0.0702376838203514,0.101270264118121
"[1365]","{5}","=>","{19F}",0.0078003120124805,0.454545454545455,3.06698564593301,5,0.00392139294777329,0.0142780426994278
"[1366]","{19F}","=>","{5}",0.0078003120124805,0.0526315789473684,3.06698564593301,5,0.0039213929477733,0.0142780426994278
"[1367]","{5}","=>","{6A}",0.0046801872074883,0.272727272727273,1.61868686868687,3,0.351493628392189,0.278253219905568
"[1368]","{6A}","=>","{5}",0.0046801872074883,0.0277777777777778,1.61868686868687,3,0.351493628392189,0.278253219905569
"[1371]","{5}","=>","{19A}",0.0078003120124805,0.454545454545455,2.82877316857899,5,0.00742927980727329,0.0201091158412885
"[1372]","{19A}","=>","{5}",0.0078003120124805,0.0485436893203883,2.82877316857899,5,0.0074292798072733,0.0201091158412885
"[1687]","{10B}","=>","{10A}",0.0109204368174727,0.583333333333333,12.0618279569892,7,2.77184412491269e-18,2.06082476114137e-07
"[1688]","{10A}","=>","{10B}",0.0109204368174727,0.225806451612903,12.0618279569892,7,2.77184412491265e-18,2.06082476114137e-07
"[1705]","{10B}","=>","{15A}",0.0046801872074883,0.25,4.57857142857143,3,0.00263429655019768,0.0233862310724179
"[1706]","{15A}","=>","{10B}",0.0046801872074883,0.0857142857142857,4.57857142857143,3,0.00263429655019768,0.0233862310724179
"[1709]","{10B}","=>","{3}",0.0046801872074883,0.25,3.56111111111111,3,0.0138562952258095,0.0455017764932194
"[1710]","{3}","=>","{10B}",0.0046801872074883,0.0666666666666667,3.56111111111111,3,0.0138562952258094,0.0455017764932194
"[1713]","{10B}","=>","{23F}",0.0046801872074883,0.25,2.35661764705882,3,0.102198130991893,0.12510172834371
"[1714]","{23F}","=>","{10B}",0.0046801872074883,0.0441176470588235,2.35661764705882,3,0.102198130991893,0.12510172834371
"[1715]","{10B}","=>","{19F}",0.0046801872074883,0.25,1.68684210526316,3,0.31640043887745,0.257019731857705
"[1716]","{19F}","=>","{10B}",0.0046801872074883,0.0315789473684211,1.68684210526316,3,0.316400438877451,0.257019731857705
"[1717]","{10B}","=>","{6A}",0.0062402496099844,0.333333333333333,1.97839506172839,4,0.123529135312954,0.12712621916053
"[1718]","{6A}","=>","{10B}",0.0062402496099844,0.037037037037037,1.97839506172839,4,0.123529135312954,0.12712621916053
"[1719]","{10B}","=>","{6B}",0.0046801872074883,0.25,1.47018348623853,3,0.456724957636211,0.334235495790131
"[1720]","{6B}","=>","{10B}",0.0046801872074883,0.0275229357798165,1.47018348623853,3,0.456724957636211,0.33423549579013
"[1721]","{10B}","=>","{19A}",0.0046801872074883,0.25,1.55582524271845,3,0.395062682049002,0.300758694695667
"[1722]","{19A}","=>","{10B}",0.0046801872074883,0.029126213592233,1.55582524271845,3,0.395062682049002,0.300758694695667
"[1741]","{33F}","=>","{8}",0.0046801872074883,0.214285714285714,6.24350649350649,3,0.000184174862636102,0.0100114651425315
"[1742]","{8}","=>","{33F}",0.0046801872074883,0.136363636363636,6.24350649350649,3,0.000184174862636102,0.0100114651425315
"[1755]","{33F}","=>","{23A}",0.0062402496099844,0.285714285714286,7.32571428571429,4,1.42750145974774e-06,0.00139066859343581
"[1756]","{23A}","=>","{33F}",0.0062402496099844,0.16,7.32571428571429,4,1.42750145974774e-06,0.00139066859343581
"[1763]","{33F}","=>","{11A}",0.0046801872074883,0.214285714285714,4.29241071428571,3,0.00430069958412552,0.0282818852726488
"[1764]","{11A}","=>","{33F}",0.0046801872074883,0.09375,4.29241071428571,3,0.00430069958412552,0.0282818852726488
"[1767]","{33F}","=>","{15A}",0.0046801872074883,0.214285714285714,3.92448979591837,3,0.00783889935942961,0.035877724131498
"[1768]","{15A}","=>","{33F}",0.0046801872074883,0.0857142857142857,3.92448979591837,3,0.00783889935942961,0.0358777241314979
"[1771]","{33F}","=>","{3}",0.0093603744149766,0.428571428571429,6.10476190476191,6,1.11677471666691e-07,0.000168583632636084
"[1772]","{3}","=>","{33F}",0.0093603744149766,0.133333333333333,6.10476190476191,6,1.11677471666691e-07,0.000168583632636084
"[1777]","{33F}","=>","{19F}",0.0062402496099844,0.285714285714286,1.92781954887218,4,0.143150490576355,0.139539151112696
"[1778]","{19F}","=>","{33F}",0.0062402496099844,0.0421052631578947,1.92781954887218,4,0.143150490576355,0.139539151112696
"[1783]","{33F}","=>","{19A}",0.0078003120124805,0.357142857142857,2.22260748959778,5,0.0429877617840433,0.0583012140476814
"[1784]","{19A}","=>","{33F}",0.0078003120124805,0.0485436893203883,2.22260748959778,5,0.0429877617840436,0.0583012140476814
"[1811]","{10F}","=>","{29}",0.0046801872074883,0.333333333333333,12.5686274509804,3,7.97106746027293e-09,0.00118343803119447
"[1812]","{29}","=>","{10F}",0.0046801872074883,0.176470588235294,12.5686274509804,3,7.97106746027293e-09,0.00118343803119446
"[1827]","{10F}","=>","{35B}",0.0046801872074883,0.333333333333333,9.28985507246377,3,1.35308684416623e-06,0.00295239223786392
"[1828]","{35B}","=>","{10F}",0.0046801872074883,0.130434782608696,9.28985507246377,3,1.35308684416623e-06,0.00295239223786391
"[1863]","{10F}","=>","{3}",0.0046801872074883,0.333333333333333,4.74814814814815,3,0.00186041027868642,0.0201704163386984
"[1864]","{3}","=>","{10F}",0.0046801872074883,0.0666666666666667,4.74814814814815,3,0.00186041027868642,0.0201704163386983
"[1941]","{9A}","=>","{9V}",0.0062402496099844,0.666666666666667,16.4358974358974,4,5.6799695099319e-15,3.04260970576424e-05
"[1942]","{9V}","=>","{9A}",0.0062402496099844,0.153846153846154,16.4358974358974,4,5.67996950993188e-15,3.04260970576424e-05
"[1947]","{9A}","=>","{15A}",0.0046801872074883,0.5,9.15714285714286,3,1.40345179914587e-06,0.00267094716612805
"[1948]","{15A}","=>","{9A}",0.0046801872074883,0.0857142857142857,9.15714285714286,3,1.40345179914587e-06,0.00267094716612805
"[1955]","{9A}","=>","{23F}",0.0046801872074883,0.5,4.71323529411765,3,0.00164340056590505,0.0180935132494489
"[1956]","{23F}","=>","{9A}",0.0046801872074883,0.0441176470588235,4.71323529411765,3,0.00164340056590505,0.0180935132494489
"[1959]","{9A}","=>","{6A}",0.0046801872074883,0.5,2.96759259259259,3,0.0292780294081047,0.0631657627163024
"[1960]","{6A}","=>","{9A}",0.0046801872074883,0.0277777777777778,2.96759259259259,3,0.0292780294081047,0.0631657627163024
"[1961]","{9A}","=>","{6B}",0.0046801872074883,0.5,2.94036697247706,3,0.0306552607021639,0.0646978542693552
"[1962]","{6B}","=>","{9A}",0.0046801872074883,0.0275229357798165,2.94036697247706,3,0.0306552607021638,0.0646978542693552
"[1963]","{9A}","=>","{19A}",0.0046801872074883,0.5,3.11165048543689,3,0.0229732823095679,0.0558036012108434
"[1964]","{19A}","=>","{9A}",0.0046801872074883,0.029126213592233,3.11165048543689,3,0.022973282309568,0.0558036012108434
"[1991]","{19B}","=>","{7B/C}",0.0062402496099844,0.444444444444444,17.8055555555556,4,4.51436501570415e-16,3.04982463481225e-05
"[1992]","{7B/C}","=>","{19B}",0.0062402496099844,0.25,17.8055555555556,4,4.51436501570415e-16,3.04982463481224e-05
"[2035]","{19B}","=>","{14}",0.0062402496099844,0.444444444444444,5.8140589569161,4,2.8583384943955e-05,0.00286618722169633
"[2036]","{14}","=>","{19B}",0.0062402496099844,0.0816326530612245,5.8140589569161,4,2.8583384943955e-05,0.00286618722169632
"[2041]","{19B}","=>","{23F}",0.0046801872074883,0.333333333333333,3.1421568627451,3,0.0257763331751199,0.0601378136088508
"[2042]","{23F}","=>","{19B}",0.0046801872074883,0.0441176470588235,3.1421568627451,3,0.0257763331751199,0.0601378136088508
"[2103]","{11C}","=>","{13}",0.0046801872074883,0.6,15.384,3,7.77128838175393e-11,0.000499559460627228
"[2104]","{13}","=>","{11C}",0.0046801872074883,0.12,15.384,3,7.77128838175393e-11,0.000499559460627228
"[2115]","{11C}","=>","{9V}",0.0062402496099844,0.8,19.7230769230769,4,5.52611568187274e-18,1.04302487743485e-05
"[2116]","{9V}","=>","{11C}",0.0062402496099844,0.153846153846154,19.7230769230769,4,5.52611568187274e-18,1.04302487743486e-05
"[2117]","{11C}","=>","{11A}",0.0046801872074883,0.6,12.01875,3,1.4278584734133e-08,0.00105921376053872
"[2118]","{11A}","=>","{11C}",0.0046801872074883,0.09375,12.01875,3,1.4278584734133e-08,0.00105921376053872
"[2123]","{11C}","=>","{14}",0.0046801872074883,0.6,7.84897959183673,3,9.7194885851175e-06,0.00377375353745219
"[2124]","{14}","=>","{11C}",0.0046801872074883,0.0612244897959184,7.84897959183674,3,9.71948858511751e-06,0.0037737535374522
"[2127]","{11C}","=>","{6C/D}",0.0046801872074883,0.6,6.51864406779661,3,7.99957623527645e-05,0.00649491385728229
"[2128]","{6C/D}","=>","{11C}",0.0046801872074883,0.0508474576271186,6.51864406779661,3,7.99957623527643e-05,0.0064949138572823
"[2131]","{11C}","=>","{19F}",0.0046801872074883,0.6,4.04842105263158,3,0.00431083375650666,0.0252197550609302
"[2132]","{19F}","=>","{11C}",0.0046801872074883,0.0315789473684211,4.04842105263158,3,0.00431083375650666,0.0252197550609303
"[2135]","{11C}","=>","{6B}",0.0046801872074883,0.6,3.52844036697248,3,0.0101937621811403,0.03686485772223
"[2136]","{6B}","=>","{11C}",0.0046801872074883,0.0275229357798165,3.52844036697248,3,0.0101937621811403,0.03686485772223
"[2137]","{11C}","=>","{19A}",0.0046801872074883,0.6,3.73398058252427,3,0.00724438874175077,0.0315529149557108
"[2138]","{19A}","=>","{11C}",0.0046801872074883,0.029126213592233,3.73398058252427,3,0.00724438874175077,0.0315529149557108
"[2149]","{35A}","=>","{35C}",0.0046801872074883,0.272727272727273,10.9261363636364,3,1.0772293617971e-07,0.00186956681209237
"[2150]","{35C}","=>","{35A}",0.0046801872074883,0.1875,10.9261363636364,3,1.0772293617971e-07,0.00186956681209237
"[2151]","{35A}","=>","{18A}",0.0046801872074883,0.272727272727273,15.8925619834711,3,4.59794712012713e-11,0.000577670906310088
"[2152]","{18A}","=>","{35A}",0.0046801872074883,0.272727272727273,15.8925619834711,3,4.59794712012713e-11,0.000577670906310088
"[2161]","{35A}","=>","{17F}",0.0046801872074883,0.272727272727273,10.9261363636364,3,1.0772293617971e-07,0.00186956681209237
"[2162]","{17F}","=>","{35A}",0.0046801872074883,0.1875,10.9261363636364,3,1.0772293617971e-07,0.00186956681209237
"[2167]","{35A}","=>","{8}",0.0046801872074883,0.272727272727273,7.94628099173554,3,1.18134816713066e-05,0.00485535376607288
"[2168]","{8}","=>","{35A}",0.0046801872074883,0.136363636363636,7.94628099173554,3,1.18134816713066e-05,0.00485535376607289
"[2169]","{35A}","=>","{35B}",0.0046801872074883,0.272727272727273,7.60079051383399,3,2.04327217020391e-05,0.00553054827316239
"[2170]","{35B}","=>","{35A}",0.0046801872074883,0.130434782608696,7.60079051383399,3,2.04327217020391e-05,0.00553054827316239
"[2181]","{35A}","=>","{18C}",0.0093603744149766,0.545454545454545,13.4475524475524,6,1.10680953241825e-17,9.85499857124501e-07
"[2182]","{18C}","=>","{35A}",0.0093603744149766,0.230769230769231,13.4475524475524,6,1.10680953241825e-17,9.854998571245e-07
"[2183]","{35A}","=>","{22F}",0.0046801872074883,0.272727272727273,9.20095693779904,3,1.62561879733045e-06,0.00314384550365238
"[2184]","{22F}","=>","{35A}",0.0046801872074883,0.157894736842105,9.20095693779904,3,1.62561879733045e-06,0.00314384550365238
"[2185]","{35A}","=>","{23A}",0.0062402496099844,0.363636363636364,9.32363636363636,4,2.02553743607161e-08,0.000496780197609479
"[2186]","{23A}","=>","{35A}",0.0062402496099844,0.16,9.32363636363636,4,2.02553743607161e-08,0.000496780197609478
"[2189]","{35A}","=>","{9V}",0.0046801872074883,0.272727272727273,6.72377622377622,3,8.24398623184807e-05,0.0078896401317795
"[2190]","{9V}","=>","{35A}",0.0046801872074883,0.115384615384615,6.72377622377622,3,8.24398623184807e-05,0.00788964013177951
"[2191]","{35A}","=>","{11A}",0.0093603744149766,0.545454545454545,10.9261363636364,6,2.69781036056057e-14,3.72018149107191e-06
"[2192]","{11A}","=>","{35A}",0.0093603744149766,0.1875,10.9261363636364,6,2.69781036056058e-14,3.72018149107192e-06
"[2195]","{35A}","=>","{15A}",0.0046801872074883,0.272727272727273,4.99480519480519,3,0.00131906492095748,0.0182167578287826
"[2196]","{15A}","=>","{35A}",0.0046801872074883,0.0857142857142857,4.99480519480519,3,0.00131906492095748,0.0182167578287826
"[2203]","{35A}","=>","{23F}",0.0046801872074883,0.272727272727273,2.57085561497326,3,0.0702376838203514,0.101270264118121
"[2204]","{23F}","=>","{35A}",0.0046801872074883,0.0441176470588235,2.57085561497326,3,0.0702376838203514,0.101270264118121
"[2205]","{35A}","=>","{19F}",0.0046801872074883,0.272727272727273,1.84019138755981,3,0.241011605434142,0.214524856965166
"[2206]","{19F}","=>","{35A}",0.0046801872074883,0.0315789473684211,1.84019138755981,3,0.241011605434142,0.214524856965166
"[2209]","{35A}","=>","{6B}",0.0046801872074883,0.272727272727273,1.60383653044204,3,0.36051147819838,0.283308797650057
"[2210]","{6B}","=>","{35A}",0.0046801872074883,0.0275229357798165,1.60383653044204,3,0.36051147819838,0.283308797650057
"[2211]","{35A}","=>","{19A}",0.0046801872074883,0.272727272727273,1.6972639011474,3,0.307417062750152,0.253264851580739
"[2212]","{19A}","=>","{35A}",0.0046801872074883,0.029126213592233,1.6972639011474,3,0.307417062750153,0.253264851580739
"[2223]","{42}","=>","{35C}",0.0078003120124805,0.714285714285714,28.6160714285714,5,6.67176500416932e-32,1.00361752979938e-07
"[2224]","{35C}","=>","{42}",0.0078003120124805,0.3125,28.6160714285714,5,6.67176500416932e-32,1.00361752979938e-07
"[2235]","{42}","=>","{22A}",0.0046801872074883,0.428571428571429,24.974025974026,3,3.53029711642642e-17,0.000127272535605973
"[2236]","{22A}","=>","{42}",0.0046801872074883,0.272727272727273,24.974025974026,3,3.53029711642642e-17,0.000127272535605974
"[2265]","{42}","=>","{22F}",0.0046801872074883,0.428571428571429,14.4586466165414,3,3.90636367184356e-10,0.000719483226279557
"[2266]","{22F}","=>","{42}",0.0046801872074883,0.157894736842105,14.4586466165414,3,3.90636367184356e-10,0.000719483226279557
"[2269]","{42}","=>","{4}",0.0046801872074883,0.428571428571429,6.10476190476191,3,0.000190287321475796,0.00928987990634009
"[2270]","{4}","=>","{42}",0.0046801872074883,0.0666666666666667,6.10476190476191,3,0.000190287321475796,0.00928987990634007
"[2273]","{42}","=>","{9V}",0.0046801872074883,0.428571428571429,10.5659340659341,3,1.67225369104222e-07,0.00186673636990106
"[2274]","{9V}","=>","{42}",0.0046801872074883,0.115384615384615,10.5659340659341,3,1.67225369104222e-07,0.00186673636990106
"[2287]","{42}","=>","{23F}",0.0046801872074883,0.428571428571429,4.03991596638655,3,0.00533723583344747,0.0292763171953881
"[2288]","{23F}","=>","{42}",0.0046801872074883,0.0441176470588235,4.03991596638655,3,0.00533723583344747,0.0292763171953881
"[2291]","{42}","=>","{6A}",0.0046801872074883,0.428571428571429,2.54365079365079,3,0.0645231026225027,0.0972445456156626
"[2292]","{6A}","=>","{42}",0.0046801872074883,0.0277777777777778,2.54365079365079,3,0.064523102622503,0.0972445456156626
"[2293]","{42}","=>","{6B}",0.0046801872074883,0.428571428571429,2.52031454783748,3,0.0671408582858101,0.0994781420806052
"[2294]","{6B}","=>","{42}",0.0046801872074883,0.0275229357798165,2.52031454783748,3,0.0671408582858102,0.0994781420806052
"[2295]","{42}","=>","{19A}",0.0062402496099844,0.571428571428571,3.55617198335645,4,0.00292570185775174,0.0149402401195176
"[2296]","{19A}","=>","{42}",0.0062402496099844,0.0388349514563107,3.55617198335645,4,0.00292570185775174,0.0149402401195177
"[2329]","{16F}","=>","{22F}",0.0046801872074883,0.111111111111111,3.74853801169591,3,0.0107596183938852,0.0411528639767077
"[2330]","{22F}","=>","{16F}",0.0046801872074883,0.157894736842105,3.74853801169591,3,0.0107596183938852,0.0411528639767077
"[2337]","{16F}","=>","{9V}",0.0046801872074883,0.111111111111111,2.73931623931624,3,0.0576050653227979,0.0906879045872508
"[2338]","{9V}","=>","{16F}",0.0046801872074883,0.115384615384615,2.73931623931624,3,0.0576050653227979,0.0906879045872508
"[2339]","{16F}","=>","{11A}",0.0062402496099844,0.148148148148148,2.96759259259259,4,0.0166396927878501,0.0398850870145426
"[2340]","{11A}","=>","{16F}",0.0062402496099844,0.125,2.96759259259259,4,0.0166396927878502,0.0398850870145426
