"","Serotype1","Serotype2","Freq","975tile"
"1","1","10A",4,0
"2","1","10B",1,0
"3","1","10C",1,0
"4","1","10F",1,0
"5","1","11A",6,0
"6","1","11B",1,0
"7","1","11C",2,0
"8","1","11D",1,0
"9","1","11E",1,0
"10","1","11F",1,0
"11","1","12A",1,0
"12","1","12B",1,0
"13","1","12F",5,0
"14","1","13",6,0
"15","1","14",13,1
"16","1","15A",7,0
"17","1","15B/C",9,1
"18","1","15F",4,0
"19","1","16A",1,0
"20","1","16F",2,0
"22","1","17F",4,0
"23","1","18A",1,0
"24","1","18B",1,0
"25","1","18C",6,0
"26","1","18F",1,0
"27","1","19A",12,5
"28","1","19B",1,0
"29","1","19C",1,0
"30","1","19F",15,4
"31","1","2",1,0
"34","1","21",5,0
"35","1","22A",3,0
"36","1","22F",4,0
"37","1","23A",6,0
"38","1","23B",6,0
"39","1","23F",8,2
"40","1","24A",1,0
"41","1","24B",2,0
"42","1","24F",2,0
"45","1","27",1,0
"48","1","29",4,0
"49","1","3",12,1
"50","1","31",2,0
"56","1","33F",2,0
"57","1","34",4,0
"59","1","35B",3,0
"60","1","35C",1,0
"61","1","35F",2,0
"62","1","36",1,0
"63","1","37",3,0
"64","1","38",6,0
"66","1","4",11,1
"67","1","40",1,0
"70","1","42",1,0
"72","1","45",1,0
"73","1","46",1,0
"77","1","5",5,0
"78","1","6A",13,5
"79","1","6B",10,4.025
"80","1","6C/D",7,2
"81","1","6E",4,0
"82","1","6F",1,0
"83","1","6G",1,0
"84","1","7A",1,0
"85","1","7B/C",3,0
"86","1","7F",4,0
"87","1","8",3,0
"88","1","9A",1,0
"89","1","9L",2,0
"90","1","9N",3,0
"91","1","9V",8,0
"92","10A","10B",7,0
"93","10A","10C",2,0
"94","10A","10F",2,0
"95","10A","11A",4,0
"97","10A","11C",2,0
"98","10A","11D",1,0
"99","10A","11E",1,0
"100","10A","11F",1,0
"101","10A","12A",1,0
"103","10A","12F",4,0
"104","10A","13",4,0
"105","10A","14",4,1.025
"106","10A","15A",4,1
"107","10A","15B/C",5,1
"108","10A","15F",3,0
"109","10A","16A",1,0
"110","10A","16F",1,0
"112","10A","17F",3,0
"113","10A","18A",1,0
"114","10A","18B",2,0
"115","10A","18C",2,0
"116","10A","18F",2,0
"117","10A","19A",9,5
"118","10A","19B",1,0
"119","10A","19C",1,0
"120","10A","19F",7,4.025
"121","10A","2",1,0
"124","10A","21",3,0
"125","10A","22A",2,0
"126","10A","22F",5,0
"127","10A","23A",3,0
"128","10A","23B",4,0
"129","10A","23F",7,3
"130","10A","24A",1,0
"131","10A","24B",2,0
"132","10A","24F",3,0
"138","10A","29",3,0
"139","10A","3",7,1
"140","10A","31",2,0
"144","10A","33C",1,0
"147","10A","34",3,0
"149","10A","35B",2,0
"150","10A","35C",1,0
"151","10A","35F",2,0
"152","10A","36",1,0
"153","10A","37",1,0
"154","10A","38",1,0
"155","10A","39",1,0
"156","10A","4",3,1
"160","10A","42",2,0
"168","10A","6A",9,6
"169","10A","6B",9,5
"170","10A","6C/D",7,2
"171","10A","6E",2,0
"172","10A","6F",2,0
"173","10A","6G",1,0
"175","10A","7B/C",2,0
"176","10A","7F",5,0
"177","10A","8",2,0
"178","10A","9A",2,0
"179","10A","9L",2,0
"180","10A","9N",1,0
"181","10A","9V",6,0
"182","10B","10C",1,0
"183","10B","10F",2,0
"184","10B","11A",1,0
"190","10B","12A",1,0
"193","10B","13",2,0
"194","10B","14",1,0
"195","10B","15A",3,0
"196","10B","15B/C",1,0
"197","10B","15F",1,0
"201","10B","17F",1,0
"203","10B","18B",1,0
"204","10B","18C",1,0
"205","10B","18F",1,0
"206","10B","19A",3,1
"209","10B","19F",3,0
"213","10B","21",1,0
"214","10B","22A",1,0
"215","10B","22F",2,0
"218","10B","23F",3,0
"221","10B","24F",1,0
"227","10B","29",2,0
"228","10B","3",3,0
"232","10B","33B",1,0
"236","10B","34",1,0
"238","10B","35B",1,0
"239","10B","35C",2,0
"240","10B","35F",1,0
"241","10B","36",1,0
"242","10B","37",1,0
"244","10B","39",1,0
"245","10B","4",1,0
"249","10B","42",1,0
"257","10B","6A",4,1
"258","10B","6B",3,1
"259","10B","6C/D",2,0
"260","10B","6E",1,0
"263","10B","7A",1,0
"265","10B","7F",2,0
"270","10B","9V",2,0
"271","10C","10F",2,0
"272","10C","11A",1,0
"274","10C","11C",1,0
"277","10C","11F",1,0
"280","10C","12F",1,0
"281","10C","13",1,0
"282","10C","14",2,0
"283","10C","15A",1,0
"284","10C","15B/C",1,0
"285","10C","15F",1,0
"286","10C","16A",1,0
"289","10C","17F",1,0
"290","10C","18A",1,0
"291","10C","18B",1,0
"292","10C","18C",1,0
"293","10C","18F",1,0
"294","10C","19A",1,0
"295","10C","19B",1,0
"296","10C","19C",1,0
"297","10C","19F",1,0
"298","10C","2",1,0
"301","10C","21",1,0
"302","10C","22A",1,0
"303","10C","22F",1,0
"304","10C","23A",1,0
"305","10C","23B",1,0
"306","10C","23F",2,0
"308","10C","24B",1,0
"309","10C","24F",1,0
"315","10C","29",1,0
"316","10C","3",2,0
"317","10C","31",1,0
"324","10C","34",1,0
"326","10C","35B",1,0
"328","10C","35F",1,0
"331","10C","38",1,0
"332","10C","39",1,0
"333","10C","4",1,0
"337","10C","42",1,0
"345","10C","6A",1,0
"346","10C","6B",1,0
"347","10C","6C/D",1,0
"348","10C","6E",1,0
"349","10C","6F",1,0
"350","10C","6G",1,0
"352","10C","7B/C",1,0
"353","10C","7F",2,0
"354","10C","8",1,0
"355","10C","9A",1,0
"356","10C","9L",1,0
"357","10C","9N",1,0
"358","10C","9V",1,0
"359","10F","11A",1,0
"361","10F","11C",1,0
"364","10F","11F",1,0
"367","10F","12F",1,0
"368","10F","13",1,0
"369","10F","14",2,0
"370","10F","15A",2,0
"371","10F","15B/C",1,0
"372","10F","15F",1,0
"373","10F","16A",1,0
"376","10F","17F",1,0
"377","10F","18A",1,0
"378","10F","18B",1,0
"379","10F","18C",1,0
"380","10F","18F",1,0
"381","10F","19A",1,0
"382","10F","19B",1,0
"383","10F","19C",1,0
"384","10F","19F",1,0
"385","10F","2",1,0
"388","10F","21",1,0
"389","10F","22A",1,0
"390","10F","22F",2,0
"391","10F","23A",1,0
"392","10F","23B",1,0
"393","10F","23F",2,0
"395","10F","24B",1,0
"396","10F","24F",1,0
"399","10F","27",1,0
"402","10F","29",3,0
"403","10F","3",3,0
"404","10F","31",1,0
"410","10F","33F",1,0
"411","10F","34",1,0
"413","10F","35B",3,0
"414","10F","35C",2,0
"415","10F","35F",2,0
"416","10F","36",1,0
"418","10F","38",1,0
"419","10F","39",1,0
"420","10F","4",1,0
"421","10F","40",1,0
"424","10F","42",1,0
"432","10F","6A",1,0
"433","10F","6B",1,0
"434","10F","6C/D",1,0
"435","10F","6E",1,0
"436","10F","6F",1,0
"437","10F","6G",1,0
"438","10F","7A",1,0
"439","10F","7B/C",1,0
"440","10F","7F",2,0
"441","10F","8",1,0
"442","10F","9A",1,0
"443","10F","9L",1,0
"444","10F","9N",1,0
"445","10F","9V",1,0
"446","11A","11B",1,0
"447","11A","11C",3,0
"448","11A","11D",1,0
"449","11A","11E",1,0
"450","11A","11F",1,0
"451","11A","12A",1,0
"453","11A","12F",5,0
"454","11A","13",5,0
"455","11A","14",8,2
"456","11A","15A",10,1
"457","11A","15B/C",8,1
"458","11A","15F",6,0
"459","11A","16A",1,0
"460","11A","16F",4,0
"462","11A","17F",3,0
"463","11A","18A",4,0
"464","11A","18B",2,0
"465","11A","18C",8,0
"466","11A","18F",1,0
"467","11A","19A",15,5.025
"468","11A","19B",2,0
"469","11A","19C",1,0
"470","11A","19F",14,5
"471","11A","2",1,0
"474","11A","21",4,0
"475","11A","22A",3,0
"476","11A","22F",5,0
"477","11A","23A",9,0
"478","11A","23B",4,0
"479","11A","23F",11,3
"481","11A","24B",1,0
"482","11A","24F",1,0
"483","11A","25A",1,0
"487","11A","28F",1,0
"488","11A","29",3,0
"489","11A","3",10,1
"490","11A","31",5,0
"492","11A","33A",2,0
"493","11A","33B",1,0
"496","11A","33F",3,0
"497","11A","34",4,0
"498","11A","35A",6,0
"499","11A","35B",4,0
"500","11A","35C",3,0
"501","11A","35F",4,0
"502","11A","36",1,0
"503","11A","37",2,0
"504","11A","38",3,0
"506","11A","4",7,1
"510","11A","42",1,0
"512","11A","45",1,0
"518","11A","6A",10,6
"519","11A","6B",10,6
"520","11A","6C/D",9,3
"521","11A","6E",3,0
"522","11A","6F",2,0
"523","11A","6G",1,0
"525","11A","7B/C",3,0
"526","11A","7F",5,0
"527","11A","8",6,0
"528","11A","9A",2,0
"529","11A","9L",2,0
"530","11A","9N",4,0
"531","11A","9V",11,0
"532","11B","11C",1,0
"540","11B","14",2,0
"552","11B","19A",1,0
"555","11B","19F",2,0
"564","11B","23F",1,0
"574","11B","3",1,0
"578","11B","33B",1,0
"580","11B","33D",1,0
"589","11B","38",1,0
"591","11B","4",1,0
"603","11B","6A",1,0
"604","11B","6B",1,0
"605","11B","6C/D",1,0
"611","11B","7F",1,0
"616","11B","9V",1,0
"619","11C","11F",1,0
"622","11C","12F",2,0
"623","11C","13",3,0
"624","11C","14",3,0
"625","11C","15A",1,0
"626","11C","15B/C",2,0
"627","11C","15F",1,0
"628","11C","16A",1,0
"631","11C","17F",2,0
"632","11C","18A",2,0
"633","11C","18B",1,0
"634","11C","18C",2,0
"635","11C","18F",1,0
"636","11C","19A",3,0
"637","11C","19B",1,0
"638","11C","19C",1,0
"639","11C","19F",3,0
"640","11C","2",1,0
"643","11C","21",1,0
"644","11C","22A",1,0
"645","11C","22F",2,0
"646","11C","23A",2,0
"647","11C","23B",2,0
"648","11C","23F",2,0
"649","11C","24A",1,0
"650","11C","24B",2,0
"651","11C","24F",2,0
"657","11C","29",2,0
"658","11C","3",2,0
"659","11C","31",1,0
"666","11C","34",1,0
"667","11C","35A",1,0
"668","11C","35B",2,0
"669","11C","35C",2,0
"670","11C","35F",1,0
"673","11C","38",1,0
"675","11C","4",1,0
"679","11C","42",1,0
"687","11C","6A",2,0
"688","11C","6B",3,0
"689","11C","6C/D",3,0
"690","11C","6E",1,0
"691","11C","6F",1,0
"692","11C","6G",1,0
"694","11C","7B/C",2,0
"695","11C","7F",1,0
"696","11C","8",1,0
"697","11C","9A",1,0
"698","11C","9L",1,0
"699","11C","9N",1,0
"700","11C","9V",4,0
"701","11D","11E",1,0
"705","11D","12F",1,0
"707","11D","14",1,0
"708","11D","15A",1,0
"709","11D","15B/C",1,0
"710","11D","15F",1,0
"719","11D","19A",1,0
"722","11D","19F",1,0
"726","11D","21",1,0
"728","11D","22F",1,0
"729","11D","23A",1,0
"730","11D","23B",1,0
"731","11D","23F",1,0
"741","11D","3",1,0
"742","11D","31",1,0
"749","11D","34",1,0
"751","11D","35B",1,0
"754","11D","36",1,0
"758","11D","4",1,0
"770","11D","6A",1,0
"771","11D","6B",1,0
"772","11D","6C/D",1,0
"779","11D","8",1,0
"781","11D","9L",1,0
"783","11D","9V",1,0
"787","11E","12F",1,0
"789","11E","14",1,0
"790","11E","15A",1,0
"791","11E","15B/C",1,0
"792","11E","15F",1,0
"801","11E","19A",1,0
"804","11E","19F",1,0
"808","11E","21",1,0
"810","11E","22F",1,0
"811","11E","23A",1,0
"812","11E","23B",1,0
"813","11E","23F",1,0
"823","11E","3",1,0
"824","11E","31",1,0
"831","11E","34",1,0
"833","11E","35B",1,0
"836","11E","36",1,0
"840","11E","4",1,0
"852","11E","6A",1,0
"853","11E","6B",1,0
"854","11E","6C/D",1,0
"861","11E","8",1,0
"863","11E","9L",1,0
"865","11E","9V",1,0
"868","11F","12F",1,0
"869","11F","13",1,0
"870","11F","14",1,0
"871","11F","15A",1,0
"872","11F","15B/C",1,0
"873","11F","15F",1,0
"874","11F","16A",1,0
"877","11F","17F",1,0
"878","11F","18A",1,0
"879","11F","18B",1,0
"880","11F","18C",1,0
"881","11F","18F",1,0
"882","11F","19A",1,0
"883","11F","19B",1,0
"884","11F","19C",1,0
"885","11F","19F",1,0
"886","11F","2",1,0
"889","11F","21",1,0
"890","11F","22A",1,0
"891","11F","22F",1,0
"892","11F","23A",1,0
"893","11F","23B",1,0
"894","11F","23F",1,0
"896","11F","24B",1,0
"897","11F","24F",1,0
"903","11F","29",1,0
"904","11F","3",1,0
"905","11F","31",1,0
"912","11F","34",1,0
"914","11F","35B",1,0
"916","11F","35F",1,0
"919","11F","38",1,0
"921","11F","4",1,0
"925","11F","42",1,0
"933","11F","6A",1,0
"934","11F","6B",1,0
"935","11F","6C/D",1,0
"936","11F","6E",1,0
"937","11F","6F",1,0
"938","11F","6G",1,0
"940","11F","7B/C",1,0
"941","11F","7F",1,0
"942","11F","8",1,0
"943","11F","9A",1,0
"944","11F","9L",1,0
"945","11F","9N",1,0
"946","11F","9V",1,0
"947","12A","12B",1,0
"948","12A","12F",2,0
"949","12A","13",1,0
"950","12A","14",1,0
"951","12A","15A",1,0
"952","12A","15B/C",1,0
"953","12A","15F",1,0
"962","12A","19A",1,0
"965","12A","19F",1,0
"969","12A","21",1,0
"974","12A","23F",1,0
"983","12A","29",1,0
"984","12A","3",1,0
"998","12A","37",1,0
"1008","12A","46",1,0
"1013","12A","6A",1,0
"1014","12A","6B",1,0
"1015","12A","6C/D",1,0
"1016","12A","6E",1,0
"1026","12A","9V",1,0
"1027","12B","12F",4,0
"1031","12B","15B/C",1,0
"1050","12B","22F",1,0
"1063","12B","3",1,0
"1075","12B","35F",1,0
"1080","12B","4",1,0
"1081","12B","40",1,0
"1087","12B","46",1,0
"1093","12B","6B",2,0
"1094","12B","6C/D",1,0
"1098","12B","7A",1,0
"1100","12B","7F",1,0
"1103","12B","9L",1,0
"1104","12B","9N",1,0
"1106","12F","13",3,0
"1107","12F","14",3,0
"1108","12F","15A",4,0
"1109","12F","15B/C",6,0
"1110","12F","15F",2,0
"1111","12F","16A",1,0
"1112","12F","16F",2,0
"1114","12F","17F",2,0
"1115","12F","18A",1,0
"1116","12F","18B",2,0
"1117","12F","18C",3,0
"1118","12F","18F",1,0
"1119","12F","19A",7,3
"1120","12F","19B",1,0
"1121","12F","19C",1,0
"1122","12F","19F",6,2
"1123","12F","2",1,0
"1126","12F","21",2,0
"1127","12F","22A",1,0
"1128","12F","22F",5,0
"1129","12F","23A",4,0
"1130","12F","23B",4,0
"1131","12F","23F",5,1
"1132","12F","24A",1,0
"1133","12F","24B",2,0
"1134","12F","24F",2,0
"1139","12F","28F",1,0
"1140","12F","29",1,0
"1141","12F","3",8,0
"1142","12F","31",2,0
"1148","12F","33F",2,0
"1149","12F","34",3,0
"1150","12F","35A",1,0
"1151","12F","35B",2,0
"1153","12F","35F",2,0
"1154","12F","36",1,0
"1155","12F","37",1,0
"1156","12F","38",1,0
"1158","12F","4",5,0
"1159","12F","40",1,0
"1162","12F","42",1,0
"1165","12F","46",1,0
"1170","12F","6A",7,3
"1171","12F","6B",8,3
"1172","12F","6C/D",6,1
"1173","12F","6E",2,0
"1174","12F","6F",1,0
"1175","12F","6G",1,0
"1176","12F","7A",2,0
"1177","12F","7B/C",2,0
"1178","12F","7F",4,0
"1179","12F","8",4,0
"1180","12F","9A",1,0
"1181","12F","9L",3,0
"1182","12F","9N",3,0
"1183","12F","9V",5,0
"1184","13","14",5,1
"1185","13","15A",7,0
"1186","13","15B/C",8,0
"1187","13","15F",2,0
"1188","13","16A",1,0
"1189","13","16F",1,0
"1191","13","17F",3,0
"1192","13","18A",2,0
"1193","13","18B",2,0
"1194","13","18C",8,0
"1195","13","18F",2,0
"1196","13","19A",12,4
"1197","13","19B",2,0
"1198","13","19C",1,0
"1199","13","19F",11,3
"1200","13","2",1,0
"1203","13","21",3,0
"1204","13","22A",4,0
"1205","13","22F",5,0
"1206","13","23A",4,0
"1207","13","23B",4,0
"1208","13","23F",10,2
"1209","13","24A",1,0
"1210","13","24B",2,0
"1211","13","24F",3,0
"1214","13","27",1,0
"1216","13","28F",1,0
"1217","13","29",3,0
"1218","13","3",7,1
"1219","13","31",2,0
"1226","13","34",5,0
"1227","13","35A",2,0
"1228","13","35B",2,0
"1229","13","35C",3,0
"1230","13","35F",3,0
"1232","13","37",1,0
"1233","13","38",3,0
"1235","13","4",5,1
"1237","13","41A",1,0
"1239","13","42",2,0
"1241","13","45",1,0
"1246","13","5",1,0
"1247","13","6A",10,4
"1248","13","6B",9,4
"1249","13","6C/D",6,1
"1250","13","6E",4,0
"1251","13","6F",1,0
"1252","13","6G",1,0
"1253","13","7A",1,0
"1254","13","7B/C",3,0
"1255","13","7F",5,0
"1256","13","8",1,0
"1257","13","9A",1,0
"1258","13","9L",2,0
"1259","13","9N",2,0
"1260","13","9V",8,0
"1261","14","15A",9,2
"1262","14","15B/C",11,2
"1263","14","15F",4,0
"1264","14","16A",1,0
"1265","14","16F",2,1
"1267","14","17F",3,0
"1268","14","18A",4,0
"1269","14","18B",2,0
"1270","14","18C",6,1
"1271","14","18F",2,0
"1272","14","19A",21,11
"1273","14","19B",4,0
"1274","14","19C",2,0
"1275","14","19F",19,10
"1276","14","2",1,0
"1279","14","21",6,0
"1280","14","22A",3,0
"1281","14","22F",5,0
"1282","14","23A",8,1
"1283","14","23B",5,0
"1284","14","23F",9,6
"1285","14","24A",1,0
"1286","14","24B",2,0
"1287","14","24F",3,0
"1290","14","27",1,0
"1291","14","28A",1,0
"1292","14","28F",1,0
"1293","14","29",2,0
"1294","14","3",10,3
"1295","14","31",2,0
"1301","14","33F",1,0
"1302","14","34",3,1
"1303","14","35A",1,0
"1304","14","35B",4,1
"1305","14","35C",2,0
"1306","14","35F",2,0.0250000000000021
"1307","14","36",1,0
"1308","14","37",1,0
"1309","14","38",4,0
"1310","14","39",1,0
"1311","14","4",9,4
"1312","14","40",1,0
"1315","14","42",1,0
"1317","14","45",1,0
"1318","14","46",1,0
"1322","14","5",3,0
"1323","14","6A",13,11
"1324","14","6B",11,12
"1325","14","6C/D",8,4
"1326","14","6E",3,0
"1327","14","6F",1,0
"1328","14","6G",1,0
"1329","14","7A",1,0
"1330","14","7B/C",6,0
"1331","14","7F",6,0
"1332","14","8",4,1
"1333","14","9A",2,0
"1334","14","9L",3,0
"1335","14","9N",2,0
"1336","14","9V",8,1
"1337","15A","15B/C",11,1
"1338","15A","15F",8,0
"1339","15A","16A",1,0
"1340","15A","16F",1,0
"1342","15A","17F",2,0
"1343","15A","18A",3,0
"1344","15A","18B",3,0
"1345","15A","18C",7,0
"1346","15A","18F",3,0
"1347","15A","19A",21,6
"1348","15A","19B",2,0
"1349","15A","19C",2,0
"1350","15A","19F",16,5
"1351","15A","2",1,0
"1354","15A","21",5,0
"1355","15A","22A",5,0
"1356","15A","22F",7,0
"1357","15A","23A",9,0
"1358","15A","23B",4,0
"1359","15A","23F",10,3
"1361","15A","24B",1,0
"1362","15A","24F",3,0
"1367","15A","28F",1,0
"1368","15A","29",3,0
"1369","15A","3",10,2
"1370","15A","31",2,0
"1372","15A","33A",1,0
"1373","15A","33B",1,0
"1376","15A","33F",3,0
"1377","15A","34",6,0
"1378","15A","35A",3,0
"1379","15A","35B",5,0
"1380","15A","35C",4,0
"1381","15A","35F",6,0
"1382","15A","36",2,0
"1383","15A","37",3,0
"1384","15A","38",1,0
"1386","15A","4",6,2
"1390","15A","42",2,0
"1392","15A","45",1,0
"1397","15A","5",1,0
"1398","15A","6A",11,6
"1399","15A","6B",8,7
"1400","15A","6C/D",7,3
