"","Serotype1","Serotype2","Freq","975tile"
"1","1","10A",4,0
"5","1","11A",6,0
"13","1","12F",5,0
"14","1","13",6,0
"15","1","14",13,1
"16","1","15A",7,0
"17","1","15B/C",9,1
"18","1","15F",4,0
"22","1","17F",4,0
"25","1","18C",6,0
"27","1","19A",12,5
"30","1","19F",15,4
"34","1","21",5,0
"35","1","22A",3,0
"36","1","22F",4,0
"37","1","23A",6,0
"38","1","23B",6,0
"39","1","23F",8,2
"48","1","29",4,0
"49","1","3",12,1
"57","1","34",4,0
"59","1","35B",3,0
"63","1","37",3,0
"64","1","38",6,0
"66","1","4",11,1
"77","1","5",5,0
"78","1","6A",13,5
"79","1","6B",10,4.025
"80","1","6C/D",7,2
"81","1","6E",4,0
"85","1","7B/C",3,0
"86","1","7F",4,0
"87","1","8",3,0
"90","1","9N",3,0
"91","1","9V",8,0
"92","10A","10B",7,0
"95","10A","11A",4,0
"103","10A","12F",4,0
"104","10A","13",4,0
"105","10A","14",4,1.025
"106","10A","15A",4,1
"107","10A","15B/C",5,1
"108","10A","15F",3,0
"112","10A","17F",3,0
"117","10A","19A",9,5
"120","10A","19F",7,4.025
"124","10A","21",3,0
"126","10A","22F",5,0
"127","10A","23A",3,0
"128","10A","23B",4,0
"129","10A","23F",7,3
"132","10A","24F",3,0
"138","10A","29",3,0
"139","10A","3",7,1
"147","10A","34",3,0
"156","10A","4",3,1
"168","10A","6A",9,6
"169","10A","6B",9,5
"170","10A","6C/D",7,2
"176","10A","7F",5,0
"181","10A","9V",6,0
"195","10B","15A",3,0
"206","10B","19A",3,1
"209","10B","19F",3,0
"218","10B","23F",3,0
"228","10B","3",3,0
"257","10B","6A",4,1
"258","10B","6B",3,1
"402","10F","29",3,0
"403","10F","3",3,0
"413","10F","35B",3,0
"447","11A","11C",3,0
"453","11A","12F",5,0
"454","11A","13",5,0
"455","11A","14",8,2
"456","11A","15A",10,1
"457","11A","15B/C",8,1
"458","11A","15F",6,0
"460","11A","16F",4,0
