"","Serotype1","Serotype2","Freq","025tile","975tile"
"1","1","10A",4,0,9
"2","1","10B",1,0,5
"3","1","10C",1,0,2
"4","1","10F",1,0,4
"5","1","11A",6,0,10
"6","1","11B",1,0,3
"7","1","11C",2,0,3
"8","1","11D",1,0,1
"9","1","11E",1,0,1
"10","1","11F",1,0,2
"11","1","12A",1,0,4
"12","1","12B",1,0,3
"13","1","12F",5,0,7
"14","1","13",6,0,9
"15","1","14",13,1,14
"16","1","15A",7,0,11
"17","1","15B/C",9,1,11.025
"18","1","15F",4,0,5
"19","1","16A",1,0,2
"20","1","16F",2,0,9
"22","1","17F",4,0,6
"23","1","18A",1,0,5
"24","1","18B",1,0,4
"25","1","18C",6,0,8
"26","1","18F",1,0,4
"27","1","19A",12,4,26
"28","1","19B",1,0,4
"29","1","19C",1,0,3
"30","1","19F",15,4,23.025
"31","1","2",1,0,2
"34","1","21",5,0,7
"35","1","22A",3,0,5
"36","1","22F",4,0,7
"37","1","23A",6,0,8
"38","1","23B",6,0,7
"39","1","23F",8,2,18
"40","1","24A",1,0,2
"41","1","24B",2,0,2
"42","1","24F",2,0,5
"45","1","27",1,0,3
"48","1","29",4,0,6
"49","1","3",12,1,13
"50","1","31",2,0,4
"56","1","33F",2,0,5
"57","1","34",4,0,9
"59","1","35B",3,0,8
"60","1","35C",1,0,6
"61","1","35F",2,0,7
"62","1","36",1,0,3
"63","1","37",3,0,4
"64","1","38",6,0,5
"66","1","4",11,1,13
"67","1","40",1,0,2
"70","1","42",1,0,4
"72","1","45",1,0,2.02499999999998
"73","1","46",1,0,2
"77","1","5",5,0,5
"78","1","6A",13,5,26
"79","1","6B",10,5,26
"80","1","6C/D",7,2,16
"81","1","6E",4,0,5
"82","1","6F",1,0,2
"83","1","6G",1,0,1
"84","1","7A",1,0,3
"85","1","7B/C",3,0,6
"86","1","7F",4,0,7
"87","1","8",3,0,8
"88","1","9A",1,0,3
"89","1","9L",2,0,5
"90","1","9N",3,0,6
"91","1","9V",8,0,8
"92","10A","10B",7,0,5
"93","10A","10C",2,0,2
"94","10A","10F",2,0,5
"95","10A","11A",4,0,11
"97","10A","11C",2,0,3
"98","10A","11D",1,0,1
"99","10A","11E",1,0,2
"100","10A","11F",1,0,2
"101","10A","12A",1,0,4
"103","10A","12F",4,0,7
"104","10A","13",4,0,9
"105","10A","14",4,1.975,15
"106","10A","15A",4,1,12
"107","10A","15B/C",5,1,13
"108","10A","15F",3,0,6
"109","10A","16A",1,0,2
"110","10A","16F",1,0,10
"112","10A","17F",3,0,6
"113","10A","18A",1,0,5
"114","10A","18B",2,0,4
"115","10A","18C",2,0,10
"116","10A","18F",2,0,4
"117","10A","19A",9,5,28
"118","10A","19B",1,0,4
"119","10A","19C",1,0,3
"120","10A","19F",7,5,27
"121","10A","2",1,0,2
"124","10A","21",3,0,7
"125","10A","22A",2,0,5
"126","10A","22F",5,0,8
"127","10A","23A",3,0,9
"128","10A","23B",4,0,7
"129","10A","23F",7,3,20
"130","10A","24A",1,0,3
"131","10A","24B",2,0,2
"132","10A","24F",3,0,5.02499999999998
"138","10A","29",3,0,7
"139","10A","3",7,1,14
"140","10A","31",2,0,4
"144","10A","33C",1,0,2
"147","10A","34",3,0,10
"149","10A","35B",2,0,9
"150","10A","35C",1,0,6.02499999999998
"151","10A","35F",2,0,8
"152","10A","36",1,0,3
"153","10A","37",1,0,4
"154","10A","38",1,0,5
"155","10A","39",1,0,3
"156","10A","4",3,1.975,14
"160","10A","42",2,0,4
"168","10A","6A",9,6,29
"169","10A","6B",9,6,28.025
"170","10A","6C/D",7,2,19
"171","10A","6E",2,0,6
"172","10A","6F",2,0,2
"173","10A","6G",1,0,1
"175","10A","7B/C",2,0,7
"176","10A","7F",5,0,8
"177","10A","8",2,0,8
"178","10A","9A",2,0,4
"179","10A","9L",2,0,5
"180","10A","9N",1,0,6
"181","10A","9V",6,0,10
"182","10B","10C",1,0,1
"183","10B","10F",2,0,2
"184","10B","11A",1,0,6
"190","10B","12A",1,0,2
"193","10B","13",2,0,5
"194","10B","14",1,0,8
"195","10B","15A",3,0,6
"196","10B","15B/C",1,0,6
"197","10B","15F",1,0,3
"201","10B","17F",1,0,3
"203","10B","18B",1,0,2
"204","10B","18C",1,0,5
"205","10B","18F",1,0,2
"206","10B","19A",3,0,13
"209","10B","19F",3,0,13
"213","10B","21",1,0,4
"214","10B","22A",1,0,3
"215","10B","22F",2,0,4
"218","10B","23F",3,0,10
"221","10B","24F",1,0,2
"227","10B","29",2,0,3
"228","10B","3",3,0,7
"232","10B","33B",1,0,2
"236","10B","34",1,0,5
"238","10B","35B",1,0,4
"239","10B","35C",2,0,4
"240","10B","35F",1,0,4
"241","10B","36",1,0,2
"242","10B","37",1,0,2
"244","10B","39",1,0,2
"245","10B","4",1,0,7
"249","10B","42",1,0,2
"257","10B","6A",4,1,14
"258","10B","6B",3,1,15
"259","10B","6C/D",2,0,8
"260","10B","6E",1,0,3
"263","10B","7A",1,0,2
"265","10B","7F",2,0,4
"270","10B","9V",2,0,5
"271","10C","10F",2,0,1
"272","10C","11A",1,0,2
"274","10C","11C",1,0,1
"277","10C","11F",1,0,0
"280","10C","12F",1,0,2
"281","10C","13",1,0,2
"282","10C","14",2,0,3
"283","10C","15A",1,0,2
"284","10C","15B/C",1,0,3
"285","10C","15F",1,0,1
"286","10C","16A",1,0,0
"289","10C","17F",1,0,1
"290","10C","18A",1,0,1
"291","10C","18B",1,0,1
"292","10C","18C",1,0,2
"293","10C","18F",1,0,1
"294","10C","19A",1,0,4
"295","10C","19B",1,0,1
"296","10C","19C",1,0,1
"297","10C","19F",1,0,5
"298","10C","2",1,0,0
"301","10C","21",1,0,1
"302","10C","22A",1,0,1
"303","10C","22F",1,0,1
"304","10C","23A",1,0,2
"305","10C","23B",1,0,2
"306","10C","23F",2,0,4
"308","10C","24B",1,0,0.0249999999999773
"309","10C","24F",1,0,1
"315","10C","29",1,0,2
"316","10C","3",2,0,3
"317","10C","31",1,0,1
"324","10C","34",1,0,2
"326","10C","35B",1,0,2
"328","10C","35F",1,0,2
"331","10C","38",1,0,1
"332","10C","39",1,0,1
"333","10C","4",1,0,2
"337","10C","42",1,0,1
"345","10C","6A",1,0,5
"346","10C","6B",1,0,6
"347","10C","6C/D",1,0,3
"348","10C","6E",1,0,1
"349","10C","6F",1,0,0.0249999999999773
"350","10C","6G",1,0,0
"352","10C","7B/C",1,0,1
"353","10C","7F",2,0,2
"354","10C","8",1,0,2
"355","10C","9A",1,0,1
"356","10C","9L",1,0,1
"357","10C","9N",1,0,1
"358","10C","9V",1,0,2
"359","10F","11A",1,0,5
"361","10F","11C",1,0,2
"364","10F","11F",1,0,1
"367","10F","12F",1,0,4
"368","10F","13",1,0,4
"369","10F","14",2,0,6
"370","10F","15A",2,0,5
"371","10F","15B/C",1,0,6
"372","10F","15F",1,0,3
"373","10F","16A",1,0,1
"376","10F","17F",1,0,3
"377","10F","18A",1,0,2
"378","10F","18B",1,0,2
"379","10F","18C",1,0,4
"380","10F","18F",1,0,2
"381","10F","19A",1,0,12
"382","10F","19B",1,0,2
"383","10F","19C",1,0,1
"384","10F","19F",1,0,10.025
"385","10F","2",1,0,1
"388","10F","21",1,0,3
"389","10F","22A",1,0,2
"390","10F","22F",2,0,3
"391","10F","23A",1,0,4
"392","10F","23B",1,0,3
"393","10F","23F",2,0,8
"395","10F","24B",1,0,1
"396","10F","24F",1,0,3
"399","10F","27",1,0,1
"402","10F","29",3,0,3
"403","10F","3",3,0,6
"404","10F","31",1,0,2
"410","10F","33F",1,0,3
"411","10F","34",1,0,4
"413","10F","35B",3,0,4
"414","10F","35C",2,0,3
"415","10F","35F",2,0,3
"416","10F","36",1,0,2
"418","10F","38",1,0,2
"419","10F","39",1,0,1
"420","10F","4",1,0,6
"421","10F","40",1,0,1
"424","10F","42",1,0,2
"432","10F","6A",1,0,12
"433","10F","6B",1,0,13
"434","10F","6C/D",1,0,7.02499999999998
"435","10F","6E",1,0,3
"436","10F","6F",1,0,1
"437","10F","6G",1,0,1
"438","10F","7A",1,0,1
"439","10F","7B/C",1,0,3
"440","10F","7F",2,0,3
"441","10F","8",1,0,4
"442","10F","9A",1,0,2
"443","10F","9L",1,0,2
"444","10F","9N",1,0,3
"445","10F","9V",1,0,4
"446","11A","11B",1,0,4
"447","11A","11C",3,0,3
"448","11A","11D",1,0,1
"449","11A","11E",1,0,1
"450","11A","11F",1,0,2
"451","11A","12A",1,0,4
"453","11A","12F",5,0,8
"454","11A","13",5,0,9
"455","11A","14",8,1,16
"456","11A","15A",10,1,11
"457","11A","15B/C",8,1,13
"458","11A","15F",6,0,6
"459","11A","16A",1,0,2
"460","11A","16F",4,0,10
"462","11A","17F",3,0,7
"463","11A","18A",4,0,5
"464","11A","18B",2,0,4
"465","11A","18C",8,0,10
"466","11A","18F",1,0,4
"467","11A","19A",15,6,30
"468","11A","19B",2,0,5
"469","11A","19C",1,0,3
"470","11A","19F",14,5,27
"471","11A","2",1,0,2
"474","11A","21",4,0,7.02499999999998
"475","11A","22A",3,0,6
"476","11A","22F",5,0,8
"477","11A","23A",9,0,10
"478","11A","23B",4,0,7
"479","11A","23F",11,3,21.025
"481","11A","24B",1,0,2
"482","11A","24F",1,0,5
"483","11A","25A",1,0,3
"487","11A","28F",1,0,3
"488","11A","29",3,0,7
"489","11A","3",10,1,15
"490","11A","31",5,0,4
"492","11A","33A",2,0,2
"493","11A","33B",1,0,5
"496","11A","33F",3,0,6
"497","11A","34",4,0,10
"498","11A","35A",6,0,5
"499","11A","35B",4,0,9
"500","11A","35C",3,0,7
"501","11A","35F",4,0,8
"502","11A","36",1,0,3
"503","11A","37",2,0,5
"504","11A","38",3,0,5.02499999999998
"506","11A","4",7,1,15
"510","11A","42",1,0,4
"512","11A","45",1,0,3
"518","11A","6A",10,6,30
"519","11A","6B",10,6,30
"520","11A","6C/D",9,2,18.025
"521","11A","6E",3,0,7
"522","11A","6F",2,0,2
"523","11A","6G",1,0,1
"525","11A","7B/C",3,0,7
"526","11A","7F",5,0,8
"527","11A","8",6,0,9
"528","11A","9A",2,0,4
"529","11A","9L",2,0,5
"530","11A","9N",4,0,7
"531","11A","9V",11,0,10
"532","11B","11C",1,0,1
"540","11B","14",2,0,5
"552","11B","19A",1,0,8
"555","11B","19F",2,0,8
"564","11B","23F",1,0,6
"574","11B","3",1,0,4.02499999999998
"578","11B","33B",1,0,1
"580","11B","33D",1,0,1
"589","11B","38",1,0,2
"591","11B","4",1,0,4
"603","11B","6A",1,0,8
"604","11B","6B",1,0,8.02499999999998
"605","11B","6C/D",1,0,5
"611","11B","7F",1,0,2
"616","11B","9V",1,0,3
"619","11C","11F",1,0,1
"622","11C","12F",2,0,2
"623","11C","13",3,0,3
"624","11C","14",3,0,4
"625","11C","15A",1,0,4
"626","11C","15B/C",2,0,4
"627","11C","15F",1,0,2
"628","11C","16A",1,0,1
"631","11C","17F",2,0,2
"632","11C","18A",2,0,2
"633","11C","18B",1,0,1
"634","11C","18C",2,0,3
"635","11C","18F",1,0,2
"636","11C","19A",3,0,8
"637","11C","19B",1,0,2
"638","11C","19C",1,0,1
"639","11C","19F",3,0,7
"640","11C","2",1,0,1
"643","11C","21",1,0,2
"644","11C","22A",1,0,2
"645","11C","22F",2,0,2
"646","11C","23A",2,0,3
"647","11C","23B",2,0,2
"648","11C","23F",2,0,6
"649","11C","24A",1,0,1
"650","11C","24B",2,0,1
"651","11C","24F",2,0,2
"657","11C","29",2,0,2
"658","11C","3",2,0,4
"659","11C","31",1,0,1.02499999999998
"666","11C","34",1,0,3
"667","11C","35A",1,0,2
"668","11C","35B",2,0,3
"669","11C","35C",2,0,2
"670","11C","35F",1,0,2
"673","11C","38",1,0,2
"675","11C","4",1,0,4
"679","11C","42",1,0,1
"687","11C","6A",2,0,8
"688","11C","6B",3,0,8
"689","11C","6C/D",3,0,5
"690","11C","6E",1,0,2
"691","11C","6F",1,0,1
"692","11C","6G",1,0,0
"694","11C","7B/C",2,0,2
"695","11C","7F",1,0,2
"696","11C","8",1,0,2
"697","11C","9A",1,0,1
"698","11C","9L",1,0,2
"699","11C","9N",1,0,2
"700","11C","9V",4,0,3
"701","11D","11E",1,0,0
"705","11D","12F",1,0,1
"707","11D","14",1,0,2
"708","11D","15A",1,0,2
"709","11D","15B/C",1,0,2
"710","11D","15F",1,0,1
"719","11D","19A",1,0,4
"722","11D","19F",1,0,3
"726","11D","21",1,0,1
"728","11D","22F",1,0,1
"729","11D","23A",1,0,1
"730","11D","23B",1,0,1
"731","11D","23F",1,0,2
"741","11D","3",1,0,2
"742","11D","31",1,0,1
"749","11D","34",1,0,1
"751","11D","35B",1,0,1
"754","11D","36",1,0,0
"758","11D","4",1,0,2
"770","11D","6A",1,0,3
"771","11D","6B",1,0,4
"772","11D","6C/D",1,0,2
"779","11D","8",1,0,1
"781","11D","9L",1,0,1
"783","11D","9V",1,0,1
"787","11E","12F",1,0,1
"789","11E","14",1,0,2
"790","11E","15A",1,0,1
"791","11E","15B/C",1,0,2
"792","11E","15F",1,0,1
"801","11E","19A",1,0,3
"804","11E","19F",1,0,3
"808","11E","21",1,0,1
"810","11E","22F",1,0,1
"811","11E","23A",1,0,1
"812","11E","23B",1,0,1
"813","11E","23F",1,0,3
"823","11E","3",1,0,2
"824","11E","31",1,0,1
"831","11E","34",1,0,2
"833","11E","35B",1,0,1
"836","11E","36",1,0,0
"840","11E","4",1,0,2
"852","11E","6A",1,0,4
"853","11E","6B",1,0,4
"854","11E","6C/D",1,0,2
"861","11E","8",1,0,1
"863","11E","9L",1,0,1
"865","11E","9V",1,0,1
"868","11F","12F",1,0,1
"869","11F","13",1,0,2
"870","11F","14",1,0,3
"871","11F","15A",1,0,2
"872","11F","15B/C",1,0,2
"873","11F","15F",1,0,1
"874","11F","16A",1,0,0
"877","11F","17F",1,0,1
"878","11F","18A",1,0,1
"879","11F","18B",1,0,1
"880","11F","18C",1,0,2
"881","11F","18F",1,0,1
"882","11F","19A",1,0,5
"883","11F","19B",1,0,1
"884","11F","19C",1,0,1
"885","11F","19F",1,0,5
"886","11F","2",1,0,0
"889","11F","21",1,0,1
"890","11F","22A",1,0,1
"891","11F","22F",1,0,2
"892","11F","23A",1,0,2
"893","11F","23B",1,0,1
"894","11F","23F",1,0,4
"896","11F","24B",1,0,0
"897","11F","24F",1,0,1
"903","11F","29",1,0,1
"904","11F","3",1,0,2.02499999999998
"905","11F","31",1,0,1
"912","11F","34",1,0,2
"914","11F","35B",1,0,2
"916","11F","35F",1,0,1.02499999999998
"919","11F","38",1,0,1
"921","11F","4",1,0,3
"925","11F","42",1,0,1
"933","11F","6A",1,0,5
"934","11F","6B",1,0,5
"935","11F","6C/D",1,0,3
"936","11F","6E",1,0,1
"937","11F","6F",1,0,0
"938","11F","6G",1,0,0
"940","11F","7B/C",1,0,1
"941","11F","7F",1,0,1
"942","11F","8",1,0,1.02499999999998
"943","11F","9A",1,0,1
"944","11F","9L",1,0,1
"945","11F","9N",1,0,1
"946","11F","9V",1,0,2
"947","12A","12B",1,0,1
"948","12A","12F",2,0,3
"949","12A","13",1,0,3
"950","12A","14",1,0,5
"951","12A","15A",1,0,4
"952","12A","15B/C",1,0,4
"953","12A","15F",1,0,2
"962","12A","19A",1,0,10
"965","12A","19F",1,0,9
"969","12A","21",1,0,3
"974","12A","23F",1,0,7
"983","12A","29",1,0,3
"984","12A","3",1,0,5
"998","12A","37",1,0,2
"1008","12A","46",1,0,1
"1013","12A","6A",1,0,10
"1014","12A","6B",1,0,10
"1015","12A","6C/D",1,0,6
"1016","12A","6E",1,0,2
"1026","12A","9V",1,0,3
"1027","12B","12F",4,0,2
"1031","12B","15B/C",1,0,3
"1050","12B","22F",1,0,2
"1063","12B","3",1,0,4
"1075","12B","35F",1,0,2
"1080","12B","4",1,0,4
"1081","12B","40",1,0,1
"1087","12B","46",1,0,1
"1093","12B","6B",2,0,8
"1094","12B","6C/D",1,0,5
"1098","12B","7A",1,0,1
"1100","12B","7F",1,0,3
"1103","12B","9L",1,0,2
"1104","12B","9N",1,0,2
"1106","12F","13",3,0,7
"1107","12F","14",3,1,10
"1108","12F","15A",4,0,8
"1109","12F","15B/C",6,0,10
"1110","12F","15F",2,0,4
"1111","12F","16A",1,0,1
"1112","12F","16F",2,0,7
"1114","12F","17F",2,0,5
"1115","12F","18A",1,0,4
"1116","12F","18B",2,0,3
"1117","12F","18C",3,0,7
"1118","12F","18F",1,0,3
"1119","12F","19A",7,2,19
"1120","12F","19B",1,0,3
"1121","12F","19C",1,0,2.02499999999998
"1122","12F","19F",6,2,19
"1123","12F","2",1,0,2
"1126","12F","21",2,0,6
"1127","12F","22A",1,0,4
"1128","12F","22F",5,0,5.02499999999998
"1129","12F","23A",4,0,6
"1130","12F","23B",4,0,6
"1131","12F","23F",5,1,15
"1132","12F","24A",1,0,2
"1133","12F","24B",2,0,1
"1134","12F","24F",2,0,4
"1139","12F","28F",1,0,2
"1140","12F","29",1,0,5
"1141","12F","3",8,0,11
"1142","12F","31",2,0,3
"1148","12F","33F",2,0,5
"1149","12F","34",3,0,7
"1150","12F","35A",1,0,4
"1151","12F","35B",2,0,6.02499999999998
"1153","12F","35F",2,0,5
"1154","12F","36",1,0,2
"1155","12F","37",1,0,3
"1156","12F","38",1,0,4
"1158","12F","4",5,0,10
"1159","12F","40",1,0,2
"1162","12F","42",1,0,3
