"","Serotype1","Serotype2","Freq","975tile"
"1","1","10A",4,10
"5","1","11A",6,10
"13","1","12F",5,7
"14","1","13",6,8
"15","1","14",13,14
"16","1","15A",7,11
"17","1","15B/C",9,12
"18","1","15F",4,5
"22","1","17F",4,7
"25","1","18C",6,8
"27","1","19A",12,26.025
"30","1","19F",15,24
"34","1","21",5,7
"35","1","22A",3,5
"36","1","22F",4,7
"37","1","23A",6,9
"38","1","23B",6,7
"39","1","23F",8,18.025
"48","1","29",4,7
"49","1","3",12,13.025
"57","1","34",4,9
"59","1","35B",3,8
"63","1","37",3,4
"64","1","38",6,5
"66","1","4",11,13
"77","1","5",5,5
"78","1","6A",13,28
"79","1","6B",10,28
"80","1","6C/D",7,17
"81","1","6E",4,6
"85","1","7B/C",3,6
"86","1","7F",4,8
"87","1","8",3,7.02499999999998
"90","1","9N",3,6
"91","1","9V",8,9
"92","10A","10B",7,6
"95","10A","11A",4,11
"103","10A","12F",4,8
"104","10A","13",4,9
"105","10A","14",4,15
"106","10A","15A",4,12.025
"107","10A","15B/C",5,12
"108","10A","15F",3,6
"112","10A","17F",3,6
"117","10A","19A",9,28
"120","10A","19F",7,26
"124","10A","21",3,7
"126","10A","22F",5,8
"127","10A","23A",3,9
"128","10A","23B",4,8
"129","10A","23F",7,20
"132","10A","24F",3,5
"138","10A","29",3,7
"139","10A","3",7,14
"147","10A","34",3,10
"156","10A","4",3,14
"168","10A","6A",9,30.025
"169","10A","6B",9,31
"170","10A","6C/D",7,18
"176","10A","7F",5,7
"181","10A","9V",6,9
"195","10B","15A",3,6
"206","10B","19A",3,14
"209","10B","19F",3,13
"218","10B","23F",3,10
"228","10B","3",3,7
"257","10B","6A",4,15
"258","10B","6B",3,15
"402","10F","29",3,3
"403","10F","3",3,6
"413","10F","35B",3,4
"447","11A","11C",3,3
"453","11A","12F",5,8
"454","11A","13",5,9
"455","11A","14",8,16
"456","11A","15A",10,12
"457","11A","15B/C",8,12
"458","11A","15F",6,6
"460","11A","16F",4,10
"462","11A","17F",3,6
"463","11A","18A",4,5
"465","11A","18C",8,10
"467","11A","19A",15,28
"470","11A","19F",14,26.025
"474","11A","21",4,7.02499999999998
"475","11A","22A",3,5
"476","11A","22F",5,7
"477","11A","23A",9,8
"478","11A","23B",4,7
"479","11A","23F",11,20
"488","11A","29",3,7
"489","11A","3",10,14
"490","11A","31",5,4
"496","11A","33F",3,6
"497","11A","34",4,10
"498","11A","35A",6,5
"499","11A","35B",4,8
"500","11A","35C",3,7
"501","11A","35F",4,8
"504","11A","38",3,5
"506","11A","4",7,15.025
"518","11A","6A",10,30
"519","11A","6B",10,30
"520","11A","6C/D",9,17
"521","11A","6E",3,6
"525","11A","7B/C",3,6
"526","11A","7F",5,8
"527","11A","8",6,8
"530","11A","9N",4,7
"531","11A","9V",11,10
"623","11C","13",3,3
"624","11C","14",3,4
"636","11C","19A",3,8
"639","11C","19F",3,8
"688","11C","6B",3,8
"689","11C","6C/D",3,5
"700","11C","9V",4,3
"1027","12B","12F",4,2
"1106","12F","13",3,7
"1107","12F","14",3,10
"1108","12F","15A",4,8.02499999999998
"1109","12F","15B/C",6,9
"1117","12F","18C",3,7
"1119","12F","19A",7,20
"1122","12F","19F",6,18.025
"1128","12F","22F",5,5
"1129","12F","23A",4,7
"1130","12F","23B",4,5
"1131","12F","23F",5,14
"1141","12F","3",8,10
"1149","12F","34",3,7
"1158","12F","4",5,10.025
"1170","12F","6A",7,22
"1171","12F","6B",8,22
"1172","12F","6C/D",6,13
"1178","12F","7F",4,6
"1179","12F","8",4,6
"1181","12F","9L",3,4
"1182","12F","9N",3,5
"1183","12F","9V",5,7
"1184","13","14",5,13
"1185","13","15A",7,10
"1186","13","15B/C",8,10
"1191","13","17F",3,6
"1194","13","18C",8,8
"1196","13","19A",12,23
"1199","13","19F",11,22
"1203","13","21",3,6
"1204","13","22A",4,4.02499999999998
"1205","13","22F",5,7
"1206","13","23A",4,8
"1207","13","23B",4,6
"1208","13","23F",10,17
"1211","13","24F",3,4
"1217","13","29",3,6
"1218","13","3",7,13
"1226","13","34",5,9
"1229","13","35C",3,6
"1230","13","35F",3,7
"1233","13","38",3,5
"1235","13","4",5,12
"1247","13","6A",10,25
"1248","13","6B",9,24
"1249","13","6C/D",6,15
"1250","13","6E",4,5
"1254","13","7B/C",3,6
"1255","13","7F",5,6
"1260","13","9V",8,7
"1261","14","15A",9,16
"1262","14","15B/C",11,17
"1263","14","15F",4,8
"1267","14","17F",3,9
"1268","14","18A",4,7
"1270","14","18C",6,13
"1272","14","19A",21,40
"1273","14","19B",4,6
"1275","14","19F",19,37.025
"1279","14","21",6,10
"1280","14","22A",3,7
"1281","14","22F",5,11
"1282","14","23A",8,13
"1283","14","23B",5,10
"1284","14","23F",9,29
"1287","14","24F",3,7
"1294","14","3",10,20
"1302","14","34",3,14
"1304","14","35B",4,13
"1309","14","38",4,7
"1311","14","4",9,20
"1322","14","5",3,7
"1323","14","6A",13,43
"1324","14","6B",11,44
"1325","14","6C/D",8,26
"1326","14","6E",3,9
"1330","14","7B/C",6,10
"1331","14","7F",6,11
"1332","14","8",4,11.025
"1334","14","9L",3,7
"1336","14","9V",8,13
"1337","15A","15B/C",11,14
"1338","15A","15F",8,6
"1343","15A","18A",3,6
"1344","15A","18B",3,4
"1345","15A","18C",7,10
"1346","15A","18F",3,4
"1347","15A","19A",21,31
"1350","15A","19F",16,29
"1354","15A","21",5,8
"1355","15A","22A",5,6
"1356","15A","22F",7,8
"1357","15A","23A",9,10
"1358","15A","23B",4,8
"1359","15A","23F",10,22
"1362","15A","24F",3,5.02499999999998
"1368","15A","29",3,8
"1369","15A","3",10,16
"1376","15A","33F",3,7
"1377","15A","34",6,11
"1378","15A","35A",3,6
"1379","15A","35B",5,9.02499999999998
"1380","15A","35C",4,7
"1381","15A","35F",6,9
"1383","15A","37",3,5
"1386","15A","4",6,16
"1398","15A","6A",11,32
"1399","15A","6B",8,33
"1400","15A","6C/D",7,20.025
"1401","15A","6E",3,7
"1405","15A","7B/C",3,7
"1406","15A","7F",3,8
"1407","15A","8",5,9
"1408","15A","9A",3,4
"1409","15A","9L",4,5
"1410","15A","9N",4,7
"1411","15A","9V",8,11
"1412","15B/C","15F",6,7
"1416","15B/C","17F",3,8
"1417","15B/C","18A",4,6
"1419","15B/C","18C",5,10
"1421","15B/C","19A",15,32
"1424","15B/C","19F",17,31
"1428","15B/C","21",4,9
"1429","15B/C","22A",3,6
"1430","15B/C","22F",6,10
"1431","15B/C","23A",9,11
"1432","15B/C","23B",6,9
"1433","15B/C","23F",12,24
"1442","15B/C","29",3,8
"1443","15B/C","3",8,17
"1451","15B/C","34",5,12
"1453","15B/C","35B",4,10
"1455","15B/C","35F",3,9
"1460","15B/C","4",7,16.025
"1472","15B/C","6A",11,34.025
"1473","15B/C","6B",15,36
"1474","15B/C","6C/D",10,22
"1475","15B/C","6E",4,8
"1479","15B/C","7B/C",5,8
"1480","15B/C","7F",4,9
"1483","15B/C","9L",3,6
"1484","15B/C","9N",3,7
"1485","15B/C","9V",10,11
"1490","15F","18A",3,3
"1494","15F","19A",7,15
"1497","15F","19F",7,13
"1503","15F","22F",3,4
"1504","15F","23A",5,5
"1505","15F","23B",3,4
"1506","15F","23F",6,11
"1516","15F","3",7,7
"1545","15F","6A",5,15
"1546","15F","6B",4,17
"1547","15F","6C/D",5,9
"1554","15F","8",3,4
"1558","15F","9V",4,5
"1637","16F","19A",6,24.025
"1640","16F","19F",7,24
"1646","16F","22F",3,7
"1688","16F","6A",4,26
"1689","16F","6B",3,27
"1690","16F","6C/D",4,17
"1701","16F","9V",3,9
"1773","17F","18B",3,2
"1774","17F","18C",3,6
"1776","17F","19A",4,18
"1779","17F","19F",5,16
"1783","17F","21",3,4.02499999999998
"1784","17F","22A",4,3
"1785","17F","22F",7,4
"1786","17F","23A",4,6
"1788","17F","23F",7,12
"1791","17F","24F",4,3
"1798","17F","3",6,8
"1799","17F","31",3,3
"1807","17F","35A",3,3
"1808","17F","35B",3,5.02499999999998
"1815","17F","4",3,9
"1827","17F","6A",4,17.025
"1828","17F","6B",5,18.025
"1829","17F","6C/D",3,11
"1840","17F","9V",3,6
"1841","18A","18B",4,2
"1842","18A","18C",5,4.02499999999998
"1843","18A","18F",3,2
"1844","18A","19A",3,13
"1847","18A","19F",3,12
"1853","18A","22F",3,4
"1854","18A","23A",4,4
"1856","18A","23F",4,9
"1875","18A","35A",3,3
"1896","18A","6B",5,14
"1897","18A","6C/D",3,8
"1908","18A","9V",3,5
"1909","18B","18C",6,3
"1910","18B","18F",5,1.02499999999998
"1911","18B","19A",4,10
"1918","18B","21",4,3
"1919","18B","22A",3,2
"1920","18B","22F",4,3
"1921","18B","23A",3,3
"1923","18B","23F",3,7
"1933","18B","3",3,5
"1963","18B","6B",5,10
"1970","18B","7F",3,3
"1971","18B","8",3,3
"1976","18C","18F",5,3
"1977","18C","19A",11,25
"1980","18C","19F",8,22
"1984","18C","21",6,6.02499999999998
"1985","18C","22A",6,4
"1986","18C","22F",6,7
"1987","18C","23A",5,8
"1988","18C","23B",4,6
"1989","18C","23F",10,17.025
"1999","18C","3",7,12.025
"2000","18C","31",3,3
"2007","18C","34",4,9
"2008","18C","35A",6,4
"2010","18C","35C",4,6
"2011","18C","35F",3,7
"2014","18C","38",3,5
"2016","18C","4",6,13
"2028","18C","6A",7,25
"2029","18C","6B",8,25
"2030","18C","6C/D",6,15.025
"2031","18C","6E",3,6
"2036","18C","7F",5,7
"2037","18C","8",5,7
"2041","18C","9V",5,8
"2042","18F","19A",3,10
"2049","18F","21",4,3
"2050","18F","22A",3,2
