"","Serotype1","Serotype2","Freq","975tile"
"1","1","10A",1,4
"3","1","10C",1,0
"5","1","11A",1,4
"6","1","11B",1,1
"15","1","14",7,9
"16","1","15A",1,5
"17","1","15B/C",5,5
"20","1","16F",1,4
"22","1","17F",1,3
"25","1","18C",2,5
"27","1","19A",5,13
"30","1","19F",12,13
"35","1","21",1,3
"36","1","22A",1,1
"38","1","23A",4,4
"39","1","23B",2,3
"40","1","23F",6,10.025
"43","1","24F",1,2
"50","1","3",5,6
"61","1","35B",2,4
"66","1","38",3,2
"68","1","4",5,5
"72","1","42",1,1
"80","1","5",2,2
"81","1","6A",5,11
"82","1","6B",8,13
"83","1","6C/D",1,6
"89","1","7F",2,3
"94","1","9V",3,4
"95","10A","10B",7,1
"96","10A","10C",1,0
"97","10A","10F",3,1
"98","10A","11A",1,4
"101","10A","11D",1,0
"102","10A","11E",1,0
"109","10A","15A",2,4
"110","10A","15B/C",1,4
"120","10A","19A",4,11
"123","10A","19F",3,11.025
"130","10A","22F",1,3
"131","10A","23A",1,4
"132","10A","23B",1,3
"133","10A","23F",3,9
"143","10A","3",2,5
"174","10A","6A",4,10
"175","10A","6B",3,10
"176","10A","6C/D",2,5
"182","10A","7F",1,3
"184","10A","9A",1,1
"187","10A","9V",1,4
"189","10B","10F",2,0
"201","10B","15A",1,1
"202","10B","15B/C",1,1
"215","10B","19F",1,3
"222","10B","22F",1,1
"225","10B","23F",1,2
"266","10B","6A",1,3
"267","10B","6B",1,3
"268","10B","6C/D",1,2
"274","10B","7F",1,1
"306","10C","19F",1,1
"326","10C","3",1,1
"412","10F","27",1,0
"416","10F","3",1,2
"455","10F","7F",1,1
"461","11A","11B",1,1
"463","11A","11D",1,0
"464","11A","11E",1,0
"468","11A","12F",1,3
"469","11A","13",1,2
"470","11A","14",5,10
"471","11A","15A",3,4.02499999999998
"472","11A","15B/C",4,5
"473","11A","15F",2,1
"475","11A","16F",2,4
"478","11A","18A",1,2
"480","11A","18C",2,5
"482","11A","19A",9,13
"485","11A","19F",6,13.025
"492","11A","22F",1,4
"493","11A","23A",2,4
"494","11A","23B",2,4
"495","11A","23F",2,10
"499","11A","25A",1,1
"505","11A","3",4,6
"506","11A","31",1,2
"509","11A","33A",3,1
"510","11A","33B",1,1
"513","11A","33F",3,3
"515","11A","35A",2,1
"516","11A","35B",2,4
"518","11A","35F",2,2
"521","11A","38",2,2
"523","11A","4",1,5
"536","11A","6A",2,11
"537","11A","6B",3,13
"538","11A","6C/D",1,6
"543","11A","7B/C",1,3
"544","11A","7F",2,3
"545","11A","8",3,3.02499999999998
"546","11A","9A",2,1
"548","11A","9N",1,3
"549","11A","9V",8,4
"550","11B","11C",2,0
"558","11B","14",2,2
"573","11B","19F",1,2
"598","11B","33B",1,0
"600","11B","33D",1,0
"611","11B","4",1,1
"625","11B","6B",1,2
"632","11B","7F",1,1
"637","11B","9V",1,1
"645","11C","14",1,2
"718","11C","7B/C",1,0
"724","11C","9V",1,1
"725","11D","11E",1,0
"743","11D","19A",1,1
"755","11D","23B",1,0
"828","11E","19A",1,0
"840","11E","23B",1,0
"983","12A","14",1,2
"1063","12B","12F",3,1
"1113","12B","35F",1,0
"1116","12B","38",1,0
"1126","12B","46",1,0
"1132","12B","6B",2,2
"1139","12B","7F",1,1
"1146","12F","14",1,6
"1151","12F","16F",1,3
"1158","12F","19A",2,8
"1161","12F","19F",2,8
"1171","12F","23F",1,6
"1181","12F","3",2,3
"1197","12F","38",1,1
"1199","12F","4",2,3
"1207","12F","46",1,0
"1213","12F","6B",1,8
"1220","12F","7F",3,2
"1223","12F","9L",1,1
"1224","12F","9N",1,2
"1225","12F","9V",2,3
"1226","13","14",1,5
"1228","13","15B/C",2,3
"1233","13","17F",1,2
"1236","13","18C",1,3
"1238","13","19A",2,7
"1241","13","19F",1,7
"1243","13","2",1,1
"1249","13","23A",2,3
"1251","13","23F",3,6
"1262","13","31",1,1
"1272","13","35B",1,3
"1277","13","38",1,1
"1292","13","6A",1,7
"1293","13","6B",1,7
"1294","13","6C/D",1,4
"1302","13","9A",1,1
"1305","13","9V",2,3
"1306","14","15A",6,11
"1307","14","15B/C",6,12
"1315","14","18C",4,11
"1316","14","18F",1,2
"1317","14","19A",28,33
"1318","14","19B",1,3
"1319","14","19C",1,2
"1320","14","19F",22,34
"1325","14","21",1,6
"1327","14","22F",2,9
"1328","14","23A",2,9
"1329","14","23B",3,8
"1330","14","23F",11,26
"1333","14","24F",4,4
"1340","14","3",6,14
"1341","14","31",2,5
"1351","14","35B",4,10
"1353","14","35F",1,6
"1356","14","38",2,3
"1358","14","4",7,11
"1362","14","42",1,2
"1371","14","6A",8,29
"1372","14","6B",12,34
"1373","14","6C/D",3,15
"1374","14","6E",1,5
"1377","14","7A",1,1
"1378","14","7B/C",2,6
"1379","14","7F",4,7.02499999999998
"1380","14","8",1,8
"1381","14","9A",2,3
"1382","14","9L",2,3
