"","Serotype1","Serotype2","Freq","975tile"
"15","1","14",7,9
"17","1","15B/C",5,5
"27","1","19A",5,13
"30","1","19F",12,13
"38","1","23A",4,4
"40","1","23F",6,10.025
"50","1","3",5,6
"66","1","38",3,2
"68","1","4",5,5
"81","1","6A",5,11
"82","1","6B",8,13
"94","1","9V",3,4
"95","10A","10B",7,1
"97","10A","10F",3,1
"120","10A","19A",4,11
"123","10A","19F",3,11.025
"133","10A","23F",3,9
"174","10A","6A",4,10
"175","10A","6B",3,10
"470","11A","14",5,10
"471","11A","15A",3,4.02499999999998
"472","11A","15B/C",4,5
"482","11A","19A",9,13
"485","11A","19F",6,13.025
"505","11A","3",4,6
"509","11A","33A",3,1
"513","11A","33F",3,3
"537","11A","6B",3,13
"545","11A","8",3,3.02499999999998
"549","11A","9V",8,4
"1063","12B","12F",3,1
"1220","12F","7F",3,2
"1251","13","23F",3,6
"1306","14","15A",6,11
"1307","14","15B/C",6,12
"1315","14","18C",4,11
"1317","14","19A",28,33
"1320","14","19F",22,34
"1329","14","23B",3,8
"1330","14","23F",11,26
"1333","14","24F",4,4
"1340","14","3",6,14
"1351","14","35B",4,10
"1358","14","4",7,11
"1371","14","6A",8,29
"1372","14","6B",12,34
"1373","14","6C/D",3,15
"1379","14","7F",4,7.02499999999998
"1383","14","9N",3,6
"1384","14","9V",11,10
"1385","15A","15B/C",15,6
"1386","15A","15F",4,1
"1395","15A","19A",13,15
"1398","15A","19F",10,15
"1406","15A","23A",4,5
"1408","15A","23F",5,11
"1418","15A","3",5,6
"1450","15A","6B",4,14
"1463","15B/C","15F",5,1
"1470","15B/C","18C",5,6
"1472","15B/C","19A",23,16
"1475","15B/C","19F",14,16
"1483","15B/C","23A",7,5
"1485","15B/C","23F",8,12
"1495","15B/C","3",4,7
"1506","15B/C","35B",5,5
"1513","15B/C","4",3,5
"1526","15B/C","6A",6,14
"1527","15B/C","6B",8,15
"1528","15B/C","6C/D",4,8
"1539","15B/C","9V",7,5.02499999999998
"1548","15F","19A",5,3
"1551","15F","19F",3,3
"1697","16F","19A",3,12
"1855","17F","23F",5,7
"1981","18B","18C",10,1
"2051","18C","18F",3,1
"2052","18C","19A",5,15
"2055","18C","19F",3,16
"2060","18C","21",3,3
"2093","18C","4",3,5
"2107","18C","6B",3,16
"2114","18C","7F",3,4
"2190","19A","19F",60,46
"2195","19A","21",4,8
"2197","19A","22F",4,11
"2198","19A","23A",10,12
"2199","19A","23B",7,10
"2200","19A","23F",31,34
"2203","19A","24F",4,5
"2210","19A","3",8,18
"2219","19A","34",4,12
"2221","19A","35B",8,12
"2228","19A","4",6,14
"2241","19A","6A",17,39
"2242","19A","6B",19,44
"2243","19A","6C/D",8,20
"2244","19A","6E",4,6
"2248","19A","7B/C",7,7.02499999999998
"2249","19A","7F",4,10
"2251","19A","9A",5,3
"2253","19A","9N",3,9
"2254","19A","9V",13,13
"2390","19F","21",4,8
"2392","19F","22F",3,11
"2393","19F","23A",11,12
"2394","19F","23B",6,11
"2395","19F","23F",26,35
"2398","19F","24F",3,6
"2405","19F","3",14,19
"2416","19F","35B",5,12.025
"2418","19F","35F",3,7
"2423","19F","4",4,15
"2436","19F","6A",16,40.025
"2437","19F","6B",13,46
"2438","19F","6C/D",7,21
"2443","19F","7B/C",3,8
"2444","19F","7F",3,10
"2446","19F","9A",3,4
"2448","19F","9N",4,9
"2449","19F","9V",13,14
"2700","21","23F",3,6
"2870","23A","23B",6,3
"2871","23A","23F",21,9
"2881","23A","3",3,6
"2892","23A","35B",4,4
"2897","23A","38",3,2
"2912","23A","6A",5,11
"2913","23A","6B",5,12
"2914","23A","6C/D",3,6
"2926","23B","23F",8,9
"2967","23B","6A",3,9
"2968","23B","6B",4,10
"2990","23F","3",7,14
"3001","23F","35B",5,9
"3008","23F","4",4,11
"3021","23F","6A",26,30
"3022","23F","6B",17,33.025
"3023","23F","6C/D",11,16
"3024","23F","6E",3,5
"3028","23F","7B/C",4,6
"3034","23F","9V",6,11
"3088","24B","24F",3,0
"3442","29","35B",7,2
"3483","3","33F",3,4
"3490","3","37",3,2
"3506","3","6A",7,17
"3507","3","6B",8,19
"3519","3","9V",8,6
"3649","33A","33F",8,1
"3687","33B","33D",3,0
"3872","35A","35C",3,1
"3904","35A","9V",3,1
"3924","35B","6A",6,11
"3925","35B","6B",5,12
"3926","35B","6C/D",3,6
"3937","35B","9V",5,4
"3947","35C","42",4,0
"4139","4","9N",3,3
"4140","4","9V",3,5
"4375","6A","6B",73,39
"4376","6A","6C/D",58,18
"4377","6A","6E",11,6
"4387","6A","9V",5,12
"4388","6B","6C/D",31,21
"4389","6B","6E",36,6
"4394","6B","7F",3,10.025
"4395","6B","8",3,11
"4396","6B","9A",3,3
"4399","6B","9V",9,14
"4400","6C/D","6E",3,3
"4439","7A","7F",3,1
"4462","9A","9V",10,1
"4463","9L","9N",6,1
"4465","9N","9V",4,3
