"","rownames.sero_st.","sero_st.sdi1","sero_st.sdi2","sero_st.big_N"
"1","1",0.488456704629556,0.488456704629556,1758
"2","10A",0.810818911887796,0.810790634543604,421
"3","10B",0.458333333333333,0.458020050125313,57
"4","10F",0.761616161616162,0.760606060606061,45
"5","11A",0.624513549847874,0.624509127573764,673
"6","12A",0.584210526315789,0.58421052631579,20
"7","12B",0.61437908496732,0.61437908496732,18
"8","12F",0.645960948481957,0.645950687967495,442
"9","13",0.866058595909342,0.866003316749585,135
"10","14",0.747481129142162,0.747480026550409,2130
"11","15A",0.630181341353169,0.630165677613383,669
"12","15B/C",0.776630934493508,0.776625327980983,732
"13","15F",0.878461538461538,0.876923076923077,26
"14","16F",0.864721321599506,0.864690443106376,255
"15","17F",0.667880304926613,0.667880304926613,188
"16","18A",0.669988925802879,0.669988925802879,43
"17","18B",0.766081871345029,0.766081871345029,19
"18","18C",0.800483155734993,0.800479478750708,522
"19","18F",0.847953216374269,0.847953216374269,19
"20","19A",0.812566098141202,0.812565823590252,4268
"21","19B",0.779279279279279,0.779279279279279,37
"22","19F",0.464362960270825,0.464362303057946,3022
"23","2",0.0588235294117648,0.0588235294117647,34
"24","21",0.683434172881197,0.683363819708269,207
"25","22A",0.742995169082125,0.742995169082126,46
"26","22F",0.285604783075272,0.285604783075272,594
"27","23A",0.576384687937034,0.576381435587212,555
"28","23B",0.617600349675821,0.617600349675821,371
"29","23F",0.633455552555718,0.633454882616621,2444
"30","24B",0.105263157894737,0.105263157894737,19
"31","24F",0.443992471616781,0.443688907777306,182
"32","25F",0.325,0.325,16
"33","27",0.704545454545454,0.681818181818182,12
"34","28A",0.615384615384615,0.615384615384615,13
"35","28F",0.722689075630252,0.722689075630252,35
"36","29",0.905098039215686,0.905098039215686,51
"37","3",0.508482149176824,0.508482149176824,1504
"38","31",0.553501180173092,0.553501180173092,124
"39","33A",0.56980056980057,0.56980056980057,27
"40","33B",0.284057971014493,0.284057971014493,46
"41","33C",0.0952380952380953,0.0952380952380952,21
"42","33D",0.7,0.690909090909091,11
"43","33F",0.639920556107249,0.639920556107249,266
"44","34",0.708750115133094,0.708740904485585,330
"45","35A",0.866935483870968,0.866935483870968,32
"46","35B",0.60597258414513,0.60597258414513,802
"47","35C",0.893707033315706,0.893707033315706,62
"48","35F",0.396383186705767,0.396354436202634,187
"49","37",0.211469534050179,0.211469534050179,63
"50","38",0.419658417567097,0.419658417567097,152
"51","39",0.50735294117647,0.507352941176471,17
"52","4",0.857380481229746,0.85735753821446,591
"53","40",0.294871794871795,0.294871794871795,13
"54","45",0.676470588235294,0.676470588235294,17
"55","48",0.787878787878788,0.787878787878788,12
"56","5",0.102580560218558,0.102564102564103,247
"57","6A",0.8870496863231,0.88704754372132,1808
"58","6B",0.592103835839334,0.592098024613769,2156
"59","6C/D",0.896487670034764,0.896483658006704,999
"60","6E",0.450321651814189,0.450321651814189,469
"61","7B/C",0.897929678464029,0.897871848253528,132
"62","7F",0.396184790487639,0.396180288234261,667
"63","8",0.680654418909453,0.680654418909452,298
"64","9A",0.431451612903226,0.431451612903226,32
"65","9L",0.854700854700855,0.851851851851852,27
"66","9N",0.471426294820718,0.471426294820717,251
"67","9V",0.355690712327993,0.355690712327993,753
