"","Sero1","Sero2","shared_mlst"
"1","1","10A",1
"2","1","10B",0
"3","1","10C",1
"4","1","10F",0
"5","1","11A",1
"6","1","11B",1
"7","1","11C",0
"8","1","11D",0
"9","1","11E",0
"10","1","11F",0
"11","1","12A",0
"12","1","12B",0
"13","1","12F",0
"14","1","13",0
"15","1","14",7
"16","1","15A",1
"17","1","15B/C",5
"18","1","15F",0
"19","1","16A",0
"20","1","16F",1
"21","1","17A",0
"22","1","17F",1
"23","1","18A",0
"24","1","18B",0
"25","1","18C",2
"26","1","18F",0
"27","1","19A",5
"28","1","19B",0
"29","1","19C",0
"30","1","19F",12
"31","1","19А",0
"32","1","2",0
"33","1","20A",0
"34","1","20B",0
"35","1","21",1
"36","1","22A",1
"37","1","22F",0
"38","1","23A",4
"39","1","23B",2
"40","1","23F",6
"41","1","24A",0
"42","1","24B",0
"43","1","24F",1
"44","1","25A",0
"45","1","25F",0
"46","1","27",0
"47","1","28A",0
"48","1","28F",0
"49","1","29",0
"50","1","3",5
"51","1","31",0
"52","1","32A",0
"53","1","32F",0
"54","1","33A",0
"55","1","33B",0
"56","1","33C",0
"57","1","33D",0
"58","1","33F",0
"59","1","34",0
"60","1","35A",0
"61","1","35B",2
"62","1","35C",0
"63","1","35F",0
"64","1","36",0
"65","1","37",0
"66","1","38",3
"67","1","39",0
"68","1","4",5
"69","1","40",0
"70","1","41A",0
"71","1","41F",0
"72","1","42",1
"73","1","43",0
"74","1","44",0
"75","1","45",0
"76","1","46",0
"77","1","47A",0
"78","1","47F",0
"79","1","48",0
"80","1","5",2
"81","1","6A",5
"82","1","6B",8
"83","1","6C/D",1
"84","1","6E",0
"85","1","6F",0
"86","1","6G",0
"87","1","7A",0
"88","1","7B/C",0
"89","1","7F",2
"90","1","8",0
"91","1","9A",0
"92","1","9L",0
"93","1","9N",0
"94","1","9V",3
"95","10A","10B",7
"96","10A","10C",1
"97","10A","10F",3
"98","10A","11A",1
"99","10A","11B",0
"100","10A","11C",0
"101","10A","11D",1
"102","10A","11E",1
"103","10A","11F",0
"104","10A","12A",0
"105","10A","12B",0
"106","10A","12F",0
"107","10A","13",0
"108","10A","14",0
"109","10A","15A",2
"110","10A","15B/C",1
"111","10A","15F",0
"112","10A","16A",0
"113","10A","16F",0
"114","10A","17A",0
"115","10A","17F",0
"116","10A","18A",0
"117","10A","18B",0
"118","10A","18C",0
"119","10A","18F",0
"120","10A","19A",4
"121","10A","19B",0
"122","10A","19C",0
"123","10A","19F",3
"124","10A","19А",0
"125","10A","2",0
"126","10A","20A",0
"127","10A","20B",0
"128","10A","21",0
"129","10A","22A",0
"130","10A","22F",1
"131","10A","23A",1
"132","10A","23B",1
"133","10A","23F",3
"134","10A","24A",0
"135","10A","24B",0
"136","10A","24F",0
"137","10A","25A",0
"138","10A","25F",0
"139","10A","27",0
"140","10A","28A",0
"141","10A","28F",0
"142","10A","29",0
"143","10A","3",2
"144","10A","31",0
"145","10A","32A",0
"146","10A","32F",0
"147","10A","33A",0
"148","10A","33B",0
"149","10A","33C",0
"150","10A","33D",0
"151","10A","33F",0
"152","10A","34",0
"153","10A","35A",0
"154","10A","35B",0
"155","10A","35C",0
"156","10A","35F",0
"157","10A","36",0
"158","10A","37",0
"159","10A","38",0
"160","10A","39",0
"161","10A","4",0
"162","10A","40",0
"163","10A","41A",0
"164","10A","41F",0
"165","10A","42",0
"166","10A","43",0
"167","10A","44",0
"168","10A","45",0
"169","10A","46",0
"170","10A","47A",0
"171","10A","47F",0
"172","10A","48",0
"173","10A","5",0
"174","10A","6A",4
"175","10A","6B",3
"176","10A","6C/D",2
"177","10A","6E",0
"178","10A","6F",0
"179","10A","6G",0
"180","10A","7A",0
"181","10A","7B/C",0
"182","10A","7F",1
"183","10A","8",0
"184","10A","9A",1
"185","10A","9L",0
"186","10A","9N",0
"187","10A","9V",1
"188","10B","10C",0
"189","10B","10F",2
"190","10B","11A",0
"191","10B","11B",0
"192","10B","11C",0
"193","10B","11D",0
"194","10B","11E",0
"195","10B","11F",0
"196","10B","12A",0
"197","10B","12B",0
"198","10B","12F",0
"199","10B","13",0
"200","10B","14",0
"201","10B","15A",1
"202","10B","15B/C",1
"203","10B","15F",0
"204","10B","16A",0
"205","10B","16F",0
"206","10B","17A",0
"207","10B","17F",0
"208","10B","18A",0
"209","10B","18B",0
"210","10B","18C",0
"211","10B","18F",0
"212","10B","19A",0
"213","10B","19B",0
"214","10B","19C",0
"215","10B","19F",1
"216","10B","19А",0
"217","10B","2",0
"218","10B","20A",0
"219","10B","20B",0
"220","10B","21",0
"221","10B","22A",0
"222","10B","22F",1
"223","10B","23A",0
"224","10B","23B",0
"225","10B","23F",1
"226","10B","24A",0
"227","10B","24B",0
"228","10B","24F",0
"229","10B","25A",0
"230","10B","25F",0
"231","10B","27",0
"232","10B","28A",0
"233","10B","28F",0
"234","10B","29",0
"235","10B","3",0
"236","10B","31",0
"237","10B","32A",0
"238","10B","32F",0
"239","10B","33A",0
"240","10B","33B",0
"241","10B","33C",0
"242","10B","33D",0
"243","10B","33F",0
"244","10B","34",0
"245","10B","35A",0
"246","10B","35B",0
"247","10B","35C",0
"248","10B","35F",0
"249","10B","36",0
