"","stA","MLST","frequency"
"31","19F","1",1
"133","22F","2",1
"206","14","3",1
"299","12F","4",1
"306","16F","4",1
"396","14","5",1
"491","14","6",1
"586","14","7",1
"681","14","8",1
"776","14","9",1
"786","18C","9",1
"791","19F","9",1
"850","7F","9",1
"871","14","10",1
"966","14","11",1
"1046","1","12",1
"1061","14","12",1
"1156","14","13",1
"1251","14","14",1
"1346","14","15",1
"1358","19A","15",1
"1361","19F","15",1
"1368","22F","15",1
"1441","14","16",1
"1536","14","17",1
"1631","14","18",1
"1726","14","19",1
"1821","14","20",1
"1916","14","21",1
"2011","14","22",1
"2106","14","23",1
"2201","14","24",1
"2296","14","25",1
"2457","6A","26",1
"2496","18C","27",1
"2591","18C","28",1
"2656","8","28",1
"2676","14","29",1
"2776","16F","30",1
"2783","19A","30",1
"2793","22F","30",1
"2796","23F","30",1
"2866","14","31",1
"2950","10F","32",1
"3081","23F","33",1
"3109","4","33",1
"3176","23F","34",1
"3271","23F","35",1
"3365","23B","36",1
"3366","23F","36",1
"3461","23F","37",1
"3556","23F","38",1
"3651","23F","39",1
"3746","23F","40",1
"3828","19A","41",1
"3896","1","42",1
"3913","15B/C","42",1
"3934","23A","42",1
"3936","23F","42",1
"3978","6B","42",1
"4006","14","43",1
"4021","19F","43",1
"4101","14","44",1
"4186","11A","45",1
"4206","18C","45",1
"4291","14","46",1
"4421","3","47",1
"4516","3","48",1
"4611","3","49",1
"4629","4","49",1
"4671","14","50",1
"4781","19F","51",1
"4851","11A","53",1
"4928","6B","53",1
"4936","8","53",1
"4940","9V","53",1
"5031","8","54",1
"5041","11A","55",1
"5213","6B","56",1
"5221","8","56",1
"5242","15A","58",1
"5336","14","59",1
"5474","33F","60",1
"5536","18C","61",1
"5607","10A","62",1
"5611","11A","62",1
"5614","11D","62",1
"5615","11E","62",1
"5633","19A","62",1
"5645","23B","62",1
"5716","14","63",1
"5717","15A","63",1
"5718","15B/C","63",1
"5728","19A","63",1
"5731","19F","63",1
"5739","23A","63",1
"5740","23B","63",1
"5741","23F","63",1
"5752","31","63",1
"5791","8","63",1
"5801","11A","64",1
"5972","6A","65",1
"5974","6C/D","65",1
"5976","6F","65",1
"5999","12F","66",1
"6001","14","66",1
"6013","19A","66",1
"6016","19F","66",1
"6026","23F","66",1
"6054","4","66",1
"6078","9L","66",1
"6079","9N","66",1
"6080","9V","66",1
"6096","14","67",1
"6173","9L","67",1
"6174","9N","67",1
"6269","9N","69",1
"6285","13","70",1
"6396","19F","71",1
"6459","9N","71",1
"6461","1","72",1
"6476","14","72",1
"6504","24F","72",1
"6511","3","72",1
"6542","6A","72",1
"6543","6B","72",1
"6572","15A","73",1
"6574","15F","73",1
"6583","19A","73",1
"6683","2","74",1
"6773","19A","75",1
"6923","6B","76",1
"6966","19F","77",1
"7058","19A","78",1
"7156","19F","79",1
"7251","19F","80",1
"7316","1","81",1
"7331","14","81",1
"7343","19A","81",1
"7346","19F","81",1
"7355","23B","81",1
"7356","23F","81",1
"7366","3","81",1
"7388","42","81",1
"7397","6A","81",1
"7398","6B","81",1
"7410","9V","81",1
"7451","23F","82",1
"7523","15B/C","83",1
"7546","23F","83",1
"7587","6A","83",1
"7631","19F","84",1
"7736","23F","85",1
"7821","19F","86",1
"7916","19F","87",1
"8011","19F","88",1
"8106","19F","89",1
"8186","14","90",1
"8198","19A","90",1
"8211","23F","90",1
"8252","6A","90",1
"8253","6B","90",1
"8254","6C/D","90",1
"8255","6E","90",1
"8348","6B","91",1
"8443","6B","92",1
"8537","6A","93",1
"8538","6B","93",1
"8633","6B","94",1
"8727","6A","95",1
"8728","6B","95",1
"8730","6E","95",1
"8822","6A","96",1
"8825","6E","96",1
"8837","10A","97",1
"8863","19A","97",1
"8932","10A","98",1
"9031","11A","99",1
"9039","12F","99",1
"9076","3","99",1
"9126","11A","100",1
"9146","18C","100",1
"9175","33A","100",1
"9176","33B","100",1
"9179","33F","100",1
"9184","35F","100",1
"9202","6A","100",1
"9232","15A","101",1
"9233","15B/C","101",1
"9334","18A","102",1
"9335","18B","102",1
"9336","18C","102",1
"9423","15B/C","103",1
"9583","6B","104",1
"9641","25F","105",1
"9662","38","105",1
"9721","19F","106",1
"9801","14","109",1
"9905","18B","110",1
"9906","18C","110",1
"10001","18C","111",1
"10096","18C","112",1
"10190","18B","113",1
"10191","18C","113",1
"10192","18F","113",1
"10193","19A","113",1
"10209","24F","113",1
"10255","7F","113",1
"10285","18B","114",1
"10286","18C","114",1
"10386","19F","115",1
"10476","18C","116",1
"10618","42","117",1
"10723","6B","118",1
"10761","18C","119",1
"10856","18C","120",1
"10951","18C","121",1
"11046","18C","122",1
"11138","17F","123",1
"11156","23F","123",1
"11178","35C","123",1
"11210","9V","123",1
"11226","14","124",1
"11241","19F","124",1
"11261","3","124",1
"11274","35F","124",1
"11321","14","125",1
"11416","14","126",1
"11511","14","127",1
"11606","14","129",1
"11701","14","130",1
"11796","14","131",1
"11891","14","132",1
"11995","18B","133",1
"11996","18C","133",1
"12081","14","134",1
"12201","23F","135",1
"12243","6B","135",1
"12245","6E","135",1
"12338","6B","136",1
"12433","6B","137",1
"12461","14","138",1
"12472","18F","138",1
"12486","23F","138",1
"12527","6A","138",1
"12528","6B","138",1
"12529","6C/D","138",1
"12623","6B","139",1
"12718","6B","140",1
"12813","6B","141",1
"12866","23F","142",1
"12936","14","143",1
"12948","19A","143",1
"13003","6B","143",1
"13031","14","144",1
"13193","6B","145",1
"13288","6B","146",1
"13289","6C/D","146",1
"13290","6E","146",1
"13383","6B","147",1
"13478","6B","148",1
"13573","6B","149",1
"13668","6B","151",1
"13711","19F","153",1
"13870","9V","154",1
"13965","9V","155",1
"13971","11A","156",1
"13980","13","156",1
"13981","14","156",1
"13983","15B/C","156",1
"13993","19A","156",1
"13996","19F","156",1
"14004","23A","156",1
"14017","31","156",1
"14027","35B","156",1
"14032","38","156",1
"14057","9A","156",1
"14060","9V","156",1
"14091","19F","157",1
"14155","9V","157",1
"14171","14","158",1
"14250","9V","158",1
"14345","9V","159",1
"14440","9V","160",1
"14471","19F","161",1
"14535","9V","161",1
"14551","14","162",1
"14553","15B/C","162",1
"14561","18C","162",1
"14563","19A","162",1
"14566","19F","162",1
"14573","22F","162",1
"14579","24F","162",1
"14597","35B","162",1
"14604","4","162",1
"14629","9N","162",1
"14630","9V","162",1
"14725","9V","163",1
"14741","14","164",1
"14848","19A","165",1
"14851","19F","165",1
"14915","9V","165",1
"14921","11A","166",1
"14943","19A","166",1
"14966","3","166",1
"14998","6B","166",1
"15007","9A","166",1
"15010","9V","166",1
"15026","14","167",1
"15121","14","168",1
"15241","23F","169",1
"15378","6B","170",1
"15473","6B","171",1
"15503","15B/C","172",1
"15513","19A","172",1
"15516","19F","172",1
"15524","23A","172",1
"15525","23B","172",1
"15526","23F","172",1
"15547","35B","172",1
"15567","6A","172",1
"15568","6B","172",1
"15569","6C/D","172",1
"15621","23F","173",1
"15716","23F","174",1
"15798","19A","175",1
"15947","6A","176",1
"15948","6B","176",1
"15949","6C/D","176",1
"15952","6G","176",1
"15991","19F","177",1
"16004","24F","177",1
"16011","3","177",1
"16086","19F","178",1
"16151","1","179",1
"16181","19F","179",1
"16189","23A","179",1
"16262","15A","180",1
"16276","19F","180",1
"16296","3","180",1
"16311","37","180",1
"16327","6A","180",1
"16328","6B","180",1
"16391","3","181",1
"16486","3","182",1
"16581","3","183",1
"16707","6A","185",1
"16708","6B","185",1
"16710","6E","185",1
"16748","19A","186",1
"16856","23F","189",1
"16897","6A","189",1
"16949","23A","190",1
"16951","23F","190",1
"17021","14","191",1
"17031","18C","191",1
"17056","3","191",1
"17072","38","191",1
"17093","7A","191",1
"17095","7F","191",1
"17190","7F","192",1
"17211","14","193",1
"17213","15B/C","193",1
"17221","18C","193",1
"17223","19A","193",1
"17226","19F","193",1
"17231","21","193",1
"17236","23F","193",1
"17385","9V","195",1
"17413","19A","196",1
"17563","6B","197",1
"17626","3","198",1
"17637","35B","198",1
"17687","15A","199",1
"17688","15B/C","199",1
"17689","15F","199",1
"17698","19A","199",1
"17699","19B","199",1
"17701","19F","199",1
"17709","23A","199",1
"17711","23F","199",1
"17721","3","199",1
"17759","7B/C","199",1
"17781","14","200",1
"17783","15B/C","200",1
"17891","19F","201",1
"17983","19A","202",1
"18140","7F","203",1
"18235","7F","204",1
"18241","1","205",1
"18279","23A","205",1
"18307","38","205",1
"18309","4","205",1
"18404","4","206",1
"18512","6A","207",1
"18514","6C/D","207",1
"18594","4","208",1
"18608","6B","208",1
"18616","8","208",1
"18661","23F","209",1
"18756","23F","210",1
"18851","23F","211",1
"18944","23A","212",1
"19063","35C","213",1
"19133","22F","214",1
"19191","1","217",1
"19206","14","217",1
"19218","19A","217",1
"19298","12B","218",1
"19299","12F","218",1
"19375","7F","218",1
"19394","12F","219",1
"19489","12F","220",1
"19584","12F","221",1
"19679","12F","222",1
"19774","12F","223",1
"19937","6A","224",1
"19939","6C/D","224",1
"19998","28A","225",1
"20073","19A","226",1
"20128","6B","226",1
"20141","1","227",1
"20171","19F","227",1
"20207","38","227",1
"20236","1","228",1
"20348","15B/C","229",1
"20441","14","230",1
"20453","19A","230",1
"20456","19F","230",1
"20466","23F","230",1
"20469","24F","230",1
"20514","7B/C","230",1
"20571","3","231",1
"20666","3","232",1
"20761","3","233",1
"20821","14","234",1
"20935","20B","235",1
"20989","7B/C","235",1
"21011","14","236",1
"21023","19A","236",1
"21026","19F","236",1
