"","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"1","1 - 10A","1","10A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"2","1 - 10C","1","10C",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"3","1 - 11A","1","11A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"4","1 - 11B","1","11B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"5","1 - 14","1","14",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"6","1 - 15A","1","15A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"7","1 - 15B/C","1","15B/C",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"8","1 - 16F","1","16F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"9","1 - 17F","1","17F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"10","1 - 18C","1","18C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"11","1 - 19A","1","19A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"12","1 - 19F","1","19F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"13","1 - 21","1","21",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"14","1 - 22A","1","22A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"15","1 - 23A","1","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"16","1 - 23B","1","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"17","1 - 23F","1","23F",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"18","1 - 24F","1","24F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"19","1 - 3","1","3",1,0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"20","1 - 35B","1","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"21","1 - 38","1","38",1,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,5.5
"22","1 - 4","1","4",1,0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"23","1 - 42","1","42",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"24","1 - 5","1","5",0,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"25","1 - 6A","1","6A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"26","1 - 6B","1","6B",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
