"","sero_pair","mc_st_index_sig","mc_cc_index_sig","mb_st_index_lift","mb_cc_index_lift","total"
"1","1 - 19A",0,0,0.5,0,0.5
"2","1 - 19F",0,0,0,0,0
"3","1 - 6A",0,0,0.5,0,0.5
"4","1 - 6B",0,0,0.5,0,0.5
"5","10A - 19A",0,0,0.5,0,0.5
"6","10A - 19F",0,0,0.5,0,0.5
"7","10A - 23F",0,0,0.5,0,0.5
"8","10A - 6A",0,0,0.5,0,0.5
"9","10A - 6B",0,0,0.5,0,0.5
"10","11A - 19A",0,0,0,0,0
"11","11A - 19F",0,0,0.5,0,0.5
"12","11A - 23F",0,0,0.5,0,0.5
"13","11A - 6A",0,0,0.5,0,0.5
"14","11A - 6B",0,0,0.5,0,0.5
"15","13 - 19A",0,0,0,0,0
"16","13 - 19F",0,0,0.5,0,0.5
"17","13 - 6A",0,0,0.5,0,0.5
"18","13 - 6B",0,0,0.5,0,0.5
"19","14 - 19A",0,0,0,0,0
"20","14 - 19F",0,0,0,0,0
"21","14 - 23F",0,0,0.5,0,0.5
"22","14 - 3",0,0,0,0,0
"23","14 - 4",0,0,0,0,0
"24","14 - 6A",1,0,0.5,0,1.5
"25","14 - 6B",0,0,0.5,0,0.5
"26","14 - 6C/D",0,0,0.5,0,0.5
"27","15A - 19A",0,0,0,0,0
"28","15A - 19F",0,0,0,0,0
"29","15A - 23F",0,0,0.5,0,0.5
"30","15A - 6A",0,0,0.5,0,0.5
"31","15A - 6B",0,0,0.5,0,0.5
"32","15A - 6C/D",0,0,0.5,0,0.5
"33","15B/C - 19A",0,0,0,0,0
"34","15B/C - 19F",0,0,0,0,0
"35","15B/C - 23F",0,0,0.5,0,0.5
"36","15B/C - 6A",0,0,0.5,0,0.5
"37","15B/C - 6B",0,0,0.5,0,0.5
"38","15B/C - 6C/D",0,0,0.5,0,0.5
"39","16F - 19A",0,0,0,0,0
"40","16F - 19F",0,0,0.5,0,0.5
"41","16F - 6A",0,1,0.5,0.5,2
"42","16F - 6B",1,1,0.5,0.5,3
"43","18C - 19A",0,0,0.5,0,0.5
"44","18C - 19F",0,0,0.5,0,0.5
"45","18C - 6A",0,0,0.5,0,0.5
"46","18C - 6B",0,0,0.5,0,0.5
"47","19A - 19F",0,0,0,0,0
"48","19A - 23A",0,0,0,0,0
"49","19A - 23F",0,0,0,0,0
"50","19A - 3",0,0,0.5,0,0.5
"51","19A - 34",0,0,0,0,0
"52","19A - 35B",0,0,0.5,0,0.5
"53","19A - 4",0,0,0.5,0,0.5
"54","19A - 6A",0,0,0.5,0,0.5
"55","19A - 6B",1,1,0.5,0,2.5
"56","19A - 6C/D",0,0,0.5,0,0.5
"57","19A - 7F",0,0,0.5,0,0.5
"58","19A - 8",0,0,0.5,0,0.5
"59","19A - 9V",0,0,0,0,0
"60","19F - 23A",0,0,0,0,0
"61","19F - 23F",0,0,0,0,0
"62","19F - 3",0,0,0,0,0
"63","19F - 34",0,0,0.5,0,0.5
"64","19F - 35B",0,0,0.5,0,0.5
"65","19F - 4",0,0,0.5,0,0.5
"66","19F - 6A",0,1,0.5,0,1.5
"67","19F - 6B",1,1,0.5,0,2.5
"68","19F - 6C/D",0,0,0.5,0,0.5
"69","19F - 9V",0,0,0,0,0
"70","23A - 6A",0,0,0.5,0,0.5
"71","23A - 6B",0,0,0.5,0,0.5
"72","23F - 3",0,0,0,0,0
"73","23F - 4",0,0,0.5,0,0.5
"74","23F - 6A",0,0,0,0,0
"75","23F - 6B",0,1,0.5,0,1.5
"76","23F - 6C/D",0,0,0.5,0,0.5
"77","3 - 4",0,0,0.5,0,0.5
"78","3 - 6A",0,0,0.5,0,0.5
"79","3 - 6B",0,0,0.5,0,0.5
"80","3 - 6C/D",0,0,0.5,0,0.5
"81","34 - 6A",0,0,0.5,0,0.5
"82","34 - 6B",0,0,0.5,0,0.5
"83","35B - 6A",0,0,0.5,0,0.5
"84","35B - 6B",0,0,0.5,0,0.5
"85","35F - 6A",0,0,0.5,0,0.5
"86","4 - 6B",0,0,0.5,0,0.5
"87","6A - 6B",0,0,0,0,0
"88","6A - 6C/D",0,0,0,0,0
"89","6A - 8",0,0,0.5,0,0.5
"90","6A - 9V",0,0,0.5,0,0.5
"91","6B - 6C/D",0,0,0,0,0
"92","6B - 8",0,0,0,0.5,0.5
"93","6B - 9V",0,0,0.5,0,0.5
