"","X","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"103",103,"11A - 9V","11A","9V",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"122",122,"12B - 12F","12B","12F",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"287",287,"18B - 18C","18B","18C",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"498",498,"29 - 35B","29","35B",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"530",530,"33A - 33F","33A","33F",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"570",570,"35C - 42","35C","42",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"616",616,"7A - 7F","7A","7F",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"622",622,"9A - 9V","9A","9V",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"623",623,"9L - 9N","9L","9N",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"30",30,"10A - 10B","10A","10B",1,1,1,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,5.75
"21",21,"1 - 38","1","38",1,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,5.5
"192",192,"15A - 15F","15A","15F",1,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,5.5
"293",293,"18C - 18F","18C","18F",1,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,5.5
"191",191,"15A - 15B/C","15A","15B/C",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"219",219,"15B/C - 19A","15B/C","19A",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"245",245,"15F - 19A","15F","19A",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"282",282,"18A - 18B","18A","18B",0,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"327",327,"19A - 19F","19A","19F",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"427",427,"23A - 23F","23A","23F",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
