"","X","sero_pair","mc_st_index_sig","mc_cc_index_sig","mb_st_index_lift","mb_cc_index_lift","total"
"236",236,"16F - 23F",1,1,0.5,0.5,3
"240",240,"16F - 6A",1,1,0.5,0.5,3
"241",241,"16F - 6B",1,1,0.5,0.5,3
"482",482,"33F - 6A",1,1,0.5,0.5,3
"1",1,"1 - 10A",1,1,0.5,0,2.5
"2",2,"1 - 11A",1,1,0.5,0,2.5
"5",5,"1 - 15A",1,1,0.5,0,2.5
"10",10,"1 - 19A",1,1,0.5,0,2.5
"24",24,"1 - 6A",1,1,0.5,0,2.5
"25",25,"1 - 6B",1,1,0.5,0,2.5
"26",26,"1 - 6C/D",1,1,0.5,0,2.5
"31",31,"10A - 11A",1,1,0.5,0,2.5
"33",33,"10A - 15B/C",1,1,0.5,0,2.5
"34",34,"10A - 19A",1,1,0.5,0,2.5
"35",35,"10A - 19F",1,1,0.5,0,2.5
"37",37,"10A - 23A",1,1,0.5,0,2.5
"39",39,"10A - 23F",1,1,0.5,0,2.5
"41",41,"10A - 6A",1,1,0.5,0,2.5
"42",42,"10A - 6B",1,1,0.5,0,2.5
"43",43,"10A - 6C/D",1,1,0.5,0,2.5
"46",46,"10A - 9V",1,1,0.5,0,2.5
"50",50,"10B - 19F",1,1,0.5,0,2.5
"52",52,"10B - 23F",1,1,0.5,0,2.5
"53",53,"10B - 6A",1,1,0.5,0,2.5
"54",54,"10B - 6B",1,1,0.5,0,2.5
"55",55,"10B - 6C/D",1,1,0.5,0,2.5
"72",72,"11A - 19F",1,1,0.5,0,2.5
"76",76,"11A - 23F",1,1,0.5,0,2.5
"86",86,"11A - 4",1,1,0.5,0,2.5
"87",87,"11A - 6A",1,1,0.5,0,2.5
"88",88,"11A - 6B",1,1,0.5,0,2.5
"89",89,"11A - 6C/D",1,1,0.5,0,2.5
"108",108,"12F - 14",1,1,0.5,0,2.5
"110",110,"12F - 19A",1,1,0.5,0,2.5
"111",111,"12F - 19F",1,1,0.5,0,2.5
"112",112,"12F - 23F",1,1,0.5,0,2.5
"116",116,"12F - 6B",1,1,0.5,0,2.5
"126",126,"13 - 19F",1,1,0.5,0,2.5
"132",132,"13 - 6A",1,1,0.5,0,2.5
"133",133,"13 - 6B",1,1,0.5,0,2.5
"138",138,"14 - 15B/C",1,1,0.5,0,2.5
"145",145,"14 - 21",1,1,0.5,0,2.5
"147",147,"14 - 23A",1,1,0.5,0,2.5
"149",149,"14 - 23F",1,1,0.5,0,2.5
"154",154,"14 - 35F",1,1,0.5,0,2.5
"158",158,"14 - 6A",1,1,0.5,0,2.5
"159",159,"14 - 6B",1,1,0.5,0,2.5
"160",160,"14 - 6C/D",1,1,0.5,0,2.5
"161",161,"14 - 6E",1,1,0.5,0,2.5
"165",165,"14 - 8",1,1,0.5,0,2.5
"173",173,"15A - 18C",1,1,0.5,0,2.5
"180",180,"15A - 23F",1,1,0.5,0,2.5
"184",184,"15A - 35B",1,1,0.5,0,2.5
"187",187,"15A - 4",1,1,0.5,0,2.5
"188",188,"15A - 6A",1,1,0.5,0,2.5
"189",189,"15A - 6B",1,1,0.5,0,2.5
"190",190,"15A - 6C/D",1,1,0.5,0,2.5
"194",194,"15A - 9V",1,1,0.5,0,2.5
"203",203,"15B/C - 22F",1,1,0.5,0,2.5
"206",206,"15B/C - 23F",1,1,0.5,0,2.5
"215",215,"15B/C - 6A",1,1,0.5,0,2.5
"216",216,"15B/C - 6B",1,1,0.5,0,2.5
"217",217,"15B/C - 6C/D",1,1,0.5,0,2.5
"220",220,"15B/C - 9A",1,1,0.5,0,2.5
"221",221,"15B/C - 9N",1,1,0.5,0,2.5
"233",233,"16F - 19F",1,1,0.5,0,2.5
"243",243,"17F - 19A",1,1,0.5,0,2.5
"244",244,"17F - 19F",1,1,0.5,0,2.5
"253",253,"17F - 6B",1,1,0.5,0,2.5
"254",254,"17F - 6C/D",1,1,0.5,0,2.5
"258",258,"18A - 6B",1,1,0.5,0,2.5
"260",260,"18B - 19A",1,1,0.5,0,2.5
"264",264,"18C - 19A",1,1,0.5,0,2.5
"265",265,"18C - 19F",1,1,0.5,0,2.5
"268",268,"18C - 23F",1,1,0.5,0,2.5
"270",270,"18C - 3",1,1,0.5,0,2.5
"274",274,"18C - 35B",1,1,0.5,0,2.5
"278",278,"18C - 6A",1,1,0.5,0,2.5
"279",279,"18C - 6B",1,1,0.5,0,2.5
"284",284,"18C - 9V",1,1,0.5,0,2.5
"285",285,"18F - 19A",1,1,0.5,0,2.5
"286",286,"18F - 19F",1,1,0.5,0,2.5
"287",287,"18F - 23F",1,1,0.5,0,2.5
"288",288,"18F - 6A",1,1,0.5,0,2.5
"289",289,"18F - 6B",1,1,0.5,0,2.5
"296",296,"19A - 22A",1,1,0.5,0,2.5
"303",303,"19A - 29",1,1,0.5,0,2.5
"304",304,"19A - 3",1,1,0.5,0,2.5
"306",306,"19A - 33F",1,1,0.5,0,2.5
"308",308,"19A - 35B",1,1,0.5,0,2.5
"309",309,"19A - 35C",1,1,0.5,0,2.5
"310",310,"19A - 37",1,1,0.5,0,2.5
"311",311,"19A - 38",1,1,0.5,0,2.5
"312",312,"19A - 4",1,1,0.5,0,2.5
"315",315,"19A - 6A",1,1,0.5,0,2.5
"316",316,"19A - 6B",1,1,0.5,0,2.5
"317",317,"19A - 6C/D",1,1,0.5,0,2.5
"318",318,"19A - 6E",1,1,0.5,0,2.5
"320",320,"19A - 7F",1,1,0.5,0,2.5
"321",321,"19A - 8",1,1,0.5,0,2.5
"323",323,"19A - 9L",1,1,0.5,0,2.5
"324",324,"19A - 9N",1,1,0.5,0,2.5
"339",339,"19F - 29",1,1,0.5,0,2.5
"342",342,"19F - 33A",1,1,0.5,0,2.5
"345",345,"19F - 33F",1,1,0.5,0,2.5
"346",346,"19F - 34",1,1,0.5,0,2.5
"347",347,"19F - 35B",1,1,0.5,0,2.5
"349",349,"19F - 37",1,1,0.5,0,2.5
"350",350,"19F - 38",1,1,0.5,0,2.5
"351",351,"19F - 4",1,1,0.5,0,2.5
